	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.44384003026865	1.2667752318730636	1.2845351340650006	61.90649033244926	66	1.2927109693608583
chr1-1000000	1.0943420954048868	0.9655161278749941	0.9540545518529213	59.86812883026058	332	0.9601269376307462
chr1-2000000	1.361710256809882	1.0189246884571879	1.161728290033426	43.94834542275768	183	1.1691224818355561
chr1-3000000	1.3588734270260645	1.0922916669711842	1.1585352655177996	36.67793057667095	242	1.165909134292678
chr1-5000000	1.5028575346523272	1.1216209252784908	1.2371789242248015	31.404598161052576	35	1.2450533457549926
chr1-6000000	1.3365818979611743	0.9995014902089187	1.1148125782602274	44.04804887511751	279	1.1219081599877294
chr1-7000000	1.1911420384482014	0.9785304021828062	0.9761265304023194	38.712251595734934	189	0.9823394003572509
chr1-8000000	1.0628148144306637	0.982558360462206	0.8936930086180521	66.81398541628427	193	0.899381204020227
chr1-9000000	1.1260026600583921	0.9576508150079249	0.9526467210379909	61.70206003138554	215	0.9587101462256676
chr1-10000000	1.421205777141789	1.0411382537296505	1.1957010913629764	41.38422083988773	207	1.203311513940617
chr1-11000000	1.1851058280128457	0.9871636390747003	0.9779758615132361	43.98283924914552	207	0.9842005021283616
chr1-12000000	1.1371046092627883	1.0050599734933645	0.946407098383574	47.38151833883173	166	0.9524308094943228
chr1-13000000	1.889677829343688	1.0703166463537095	1.3054351065280927	70.21125742945922	8	1.3137439663929285
chr1-14000000	0.898288136763724	0.6652266366173528	0.7128764404979748	44.056455911790515	65	0.7174137709370142
chr1-15000000	1.099500362917103	0.9944540296101261	0.9155613161814106	57.16783872264852	229	0.9213886994314658
chr1-16000000	1.1236672992640926	0.9201806803945236	0.9637076423705773	64.31775444816782	237	0.9698414683348754
chr1-17000000	1.1234766806230034	0.9329204122764799	0.9375417809061755	39.68736896779063	238	0.9435090658642886
chr1-18000000	1.2018049368834716	0.9835639007448049	0.9899066402336334	28.91089369715247	155	0.9962072181113393
chr1-19000000	1.2156272524805514	0.9531080542890624	0.9969852671425267	47.34572291873706	188	1.0033308992084702
chr1-20000000	1.2000006923619302	0.9110679899147157	0.9722820324549578	43.71658458443947	166	0.9784704328713151
chr1-21000000	1.089328159102595	0.9320243960384231	0.9034160819074727	43.21138687242528	236	0.9091661629238871
chr1-22000000	1.077530087161363	0.8697088541583279	0.8749642935070714	28.70330426610248	266	0.8805332840031369
chr1-23000000	1.121799126419173	0.9772968613189763	0.9326101028980087	74.84591040027765	196	0.9385459986118282
chr1-24000000	1.308501672361411	0.9881533782463169	1.0732047343333968	48.99131674292275	238	1.0800354896112827
chr1-25000000	1.3266666474516593	1.0410236495579832	1.1027472122036188	41.0846350554721	198	1.109766000044331
