	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.5647949188407784	1.2738386392019132	1.2125808053020137	61.90649033244926	66	1.2415672672837572
chr1-1000000	1.3993901618125075	1.0530792883545619	1.0530639804887667	59.86812883026058	332	1.078237229893105
chr1-2000000	1.6343678895025135	1.1017777362491095	1.1413255383028535	43.94834542275768	183	1.1686086597081677
chr1-3000000	1.5502440187789222	1.1139219207880333	1.08824676039273	36.67793057667095	242	1.1142610459635975
chr1-5000000	1.3977192036083577	1.1568748491073977	0.9782394718607459	31.404598161052576	35	1.0016240587980838
chr1-6000000	1.3925051474238426	0.9633438352002524	0.9916939773247565	44.04804887511751	279	1.0154001910843322
chr1-7000000	1.1415695131439267	0.9785284585249416	0.7961814651705847	38.712251595734934	189	0.81521399782311
chr1-8000000	1.1118584372537232	0.9774681418045865	0.9200663421252884	66.81398541628427	193	0.942060313933257
chr1-9000000	1.3957202216099491	1.0674300820243083	1.046379609105249	61.70206003138554	215	1.0713930701671257
chr1-10000000	1.5430783601757505	1.116914646654838	1.1443469297190076	41.38422083988773	207	1.1717022767830436
chr1-11000000	1.4348782839792844	1.177417721414748	1.0163872127730642	43.98283924914552	207	1.0406837125798862
chr1-12000000	1.344724057797917	1.1375847242480408	0.9786136240080809	47.38151833883173	166	1.0020071549654352
chr1-13000000	1.467743469832329	0.8631161834575015	0.9560528180138246	70.21125742945922	8	0.9789070381538127
chr1-14000000	1.1098741882531307	0.8463260550720924	0.8116115503718765	44.056455911790515	65	0.8310129356205394
chr1-15000000	1.3000063165138682	1.1079956811663598	0.9607186204348285	57.16783872264852	229	0.983684375495953
chr1-16000000	1.4286399730877488	1.0334836526524382	1.0487473372963627	64.31775444816782	237	1.0738173983496746
chr1-17000000	1.2933307146752755	1.043566706421665	0.9243050623680076	39.68736896779063	238	0.9464003597970232
chr1-18000000	1.470135386869455	1.1076983710190298	0.9964200052192718	28.91089369715247	155	1.0202391935759134
chr1-19000000	1.279887241023988	1.045880858535479	0.9584797602556441	47.34572291873706	188	0.9813919958851706
chr1-20000000	1.4970114707532252	0.9860489070101119	1.0624975569087565	43.71658458443947	166	1.0878963137622102
chr1-21000000	1.382044622271307	1.0255753258011382	0.9985651852676559	43.21138687242528	236	1.0224356536541683
chr1-22000000	1.4445570448034228	1.095147604750077	0.9976244522714107	28.70330426610248	266	1.0214724326545577
chr1-23000000	1.2906539426803625	1.0727333505497687	0.9767607558324135	74.84591040027765	196	1.0001099944071932
chr1-24000000	1.5139059716470529	1.0462348453105463	1.106381955988392	48.99131674292275	238	1.1328297591898924
chr1-25000000	1.6339400685183325	1.1519022052468735	1.1571487641156353	41.0846350554721	198	1.1848101360519205
chr1-26000000	1.4117807154872901	1.0473661093293005	1.0534428636668924	63.1120204060067	240	1.0786251701854372
chr1-27000000	1.3278537150134044	1.0698304439746549	0.9933731209086005	65.47213353465956	222	1.0171194742048093
chr1-28000000	1.2976710492986399	1.0379596846741592	1.014532230072095	70.01923714880158	162	1.0387843869491071
chr1-29000000	1.422560974077623	1.047268239788932	1.0224149583308804	34.91022808233579	163	1.0468555499925984
chr1-30000000	1.5217414692805078	1.1438402190376458	1.0525218924245998	27.29778900950816	188	1.0776821833399088
chr1-31000000	1.529037647461177	1.1760152050891057	1.126458949378384	47.72238200091308	234	1.1533866884349318
chr1-32000000	1.431720723125372	1.1368342231129427	1.1129340778204257	76.07001211489109	201	1.1395385079696343
chr1-33000000	1.4510938104392306	1.176527668704109	1.083631960769265	55.58596051984334	141	1.1095359306290031
chr1-34000000	1.3304259716466278	1.0987876558193617	0.9335714221132548	33.62919649145892	39	0.9558882297156875
chr1-35000000	1.4366200897407464	1.1564749745882	1.0970519092282	64.07760917663325	105	1.123276679833011
chr1-36000000	1.4149309453685206	1.0790904228714664	1.0189927866311599	53.89759011141474	220	1.0433515720747397
chr1-37000000	1.3731614881046545	1.0895729096769937	0.9766839977454852	51.34088710327598	170	1.0000314014360585
chr1-38000000	1.5603246309104424	1.1381103751920023	1.0903763183703203	42.931038122606715	124	1.1164415105290917
chr1-39000000	1.4999813135686757	1.1016496291455276	1.136431410272615	51.34051841918124	185	1.1635975386862358
chr1-40000000	1.5933054158715771	1.1067172391314264	1.1939448037510225	50.966203498156496	162	1.2224857764523094
chr1-41000000	1.4382107918309328	1.035896571742371	1.0334629800474417	43.37709798698427	214	1.0581676720974065
chr1-42000000	1.471738554647637	1.163965669353325	1.15269842638353	70.05506535185825	124	1.180253414031928
chr1-43000000	1.3472465107913687	1.0390744976830317	0.9573450335834577	50.06158559102042	206	0.9802301438359379
chr1-44000000	1.5116699099686224	1.1372737975606253	1.104327493790336	62.14326942367279	186	1.1307261855510675
chr1-45000000	1.8109384859499407	1.0902248864957544	1.4834757243537369	74.74891159104507	103	1.5189378663378406
chr1-46000000	1.4585843763634232	1.1621902445093812	1.0365827681032633	47.72112664932239	191	1.061362037960724
chr1-47000000	1.4333123957169085	1.0891430129077182	0.9576930666338468	34.8667988691451	135	0.9805864965354087
chr1-48000000	3.647288813677361	1.4576324239740426	2.169023882163713	52.08138425217267	5	2.220873893332389
chr1-50000000	1.2030955904672338	0.9465906899985246	0.9641018382423723	42.30483749068204	52	0.9871484683379073
chr1-51000000	1.3983103698431285	1.026295070852851	1.119327043806704	52.983008404949665	132	1.1460842963201636
chr1-52000000	1.2784367463338553	1.028036299399703	0.9836499921967906	61.95049748596646	89	1.0071639163637272
chr1-53000000	1.432825626978378	1.0919686955995087	1.0025749428650752	37.1851237598111	249	1.0265412635738784
chr1-54000000	1.579971117517174	1.0881946256345791	1.0797477204924288	37.36846536319911	246	1.1055588384922166
chr1-55000000	1.005600373077502	0.7450264582595987	0.7563861466568819	44.19240973682571	126	0.7744673814807551
chr1-56000000	0.9145519978461979	0.6939621872381896	0.7019965961947132	31.805784553559754	78	0.7187776614713017
chr1-57000000	1.0498545294221555	0.8720704668569774	0.8278199425041032	35.54547531066218	31	0.8476087855949747
chr1-58000000	1.2055197162561708	1.0807932931021091	0.9347610536027235	78.48537133404567	88	0.9571062990690834
chr1-59000000	1.0196533444949514	0.9659481418256365	0.8225466942038228	44.91031709569507	96	0.8422094815211673
chr1-60000000	1.2891811197757521	1.1326214631724656	1.0059243176168529	54.60772722457688	20	1.029970704349694
chr1-61000000	1.3418906753312372	1.1076119858173417	1.0718904670123615	46.41306444771146	66	1.0975137591961004
chr1-62000000	1.1670122012387618	1.0044806146352436	0.8966065157602623	37.485940739403496	83	0.9180396858781046
chr1-63000000	1.402319591473936	1.0770207761154196	1.1030484147475232	45.37497332976685	98	1.1294165304213797
chr1-64000000	1.4780430457909386	1.0357937677183702	1.1578687410177202	48.88625599979078	113	1.1855473238343102
chr1-65000000	1.0996421650885966	0.9759101714430307	0.9085371025292365	44.246412885983595	99	0.9302554705475293
chr1-66000000	1.087879966297054	0.93937110984448	0.932794027435274	52.0772690035183	102	0.9550922515988303
chr1-67000000	1.2639196447684302	1.0975697686356598	1.0279597670475138	54.60715294576398	137	1.0525329060713193
chr1-68000000	1.4520280787483673	1.1675073126635094	1.092640145908877	41.727143686114786	61	1.1187594543381623
chr1-69000000	0.9245234228447163	0.5746526046092878	0.7301353069215557	29.206066768613734	8	0.7475890215301578
chr1-70000000	1.3193004248907898	1.0721580979288046	1.1137875889163769	57.60241138086706	42	1.140412422049721
