	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.2291091249143713	0.9962041253925593	1.1461573716711544	61.90649033244926	66	1.1819803728919462
chr1-1000000	1.165600031961634	0.9559609629119032	1.0627508573250228	59.86812883026058	332	1.0959669986685476
chr1-2000000	1.2042897855399868	1.0149514118084855	1.0202899526551663	43.94834542275768	183	1.052178983885002
chr1-3000000	1.1896127467574116	1.041367765855544	0.955867855284736	36.67793057667095	242	0.985743382147905
chr1-5000000	0.9202379160010086	0.9787441915488924	0.7021730607141401	31.404598161052576	35	0.7241193894058922
chr1-6000000	1.2408923473879196	1.013628176558489	1.0574505537993102	44.04804887511751	279	1.0905010348379194
chr1-7000000	1.1187605600953847	0.9365897069480176	0.8523442511701057	38.712251595734934	189	0.8789841611029644
chr1-8000000	1.2399640152530182	1.0537919768346118	1.1069216229719663	66.81398541628427	193	1.1415183159140787
chr1-9000000	1.3259744859558658	1.0973211912584244	1.2174695059860792	61.70206003138554	215	1.255521358791969
chr1-10000000	1.4399297835834808	1.0961875252298732	1.1966645003753347	41.38422083988773	207	1.2340660954070186
chr1-11000000	1.269906526899089	1.1003606344190962	1.0258238484579414	43.98283924914552	207	1.0578858408892649
chr1-12000000	1.195753190600766	1.062342343090404	0.9780296163177499	47.38151833883173	166	1.0085978061713274
chr1-13000000	0.8402773424659559	0.9480789524559698	0.7010603742380332	70.21125742945922	8	0.7229719260571
chr1-14000000	1.093524021767903	0.9485927883181645	0.5754913086881365	44.056455911790515	65	0.5934782155154523
chr1-15000000	1.1800937782134384	1.0427769876357464	1.0110264576154953	57.16783872264852	229	1.0426259594994338
chr1-16000000	1.262653484175921	1.0501463778181594	1.0720529011758522	64.31775444816782	237	1.105559776703408
chr1-17000000	1.210331107823489	1.0514865099686115	0.989073984372909	39.68736896779063	238	1.0199873645294082
chr1-18000000	1.2168490893439654	1.0316450350884558	1.024950955991416	28.91089369715247	155	1.056985666280979
chr1-19000000	1.35413947747339	1.0749689329279715	1.195082064528353	47.34572291873706	188	1.2324342007311893
chr1-20000000	1.4274719598100807	1.0662912244166767	1.1226545740411342	43.71658458443947	166	1.1577429983451764
chr1-21000000	1.3123128796002794	1.0737900543865702	1.1521737484158747	43.21138687242528	236	1.1881847907179333
