	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.3992056746468906	1.0245972134518495	1.1564873037687242	61.90649033244926	66	1.179600383224293
chr1-1000000	1.429922815475236	1.0099547530222805	1.0479225945983455	59.86812883026058	332	1.0688659444417097
chr1-2000000	1.6017354543926237	1.055831844812247	1.091123277976036	43.94834542275768	183	1.112930018903928
chr1-3000000	1.6884677771334262	1.1601509003927895	1.1571014269120323	36.67793057667095	242	1.1802267799800832
chr1-5000000	1.3018853141419924	0.9940545650875375	0.8763553208055196	31.404598161052576	35	0.8938697977004074
chr1-6000000	1.6601553865445724	1.0455936038659142	1.1858228192558675	44.04804887511751	279	1.2095221862548575
chr1-7000000	1.4555263472191444	1.073850707722172	1.0303319994016624	38.712251595734934	189	1.0509237908464806
chr1-8000000	1.0640830590826533	0.973290188018169	0.9481574062886883	66.81398541628427	193	0.9671068901235053
chr1-9000000	1.2937311287430906	0.9918969732114498	1.0184984810919733	61.70206003138554	215	1.0388537727083544
chr1-10000000	1.4566958947238888	0.9755127776886302	1.0548583823970001	41.38422083988773	207	1.075940348041813
chr1-11000000	1.5141733933101649	1.0180765310678346	1.063986228062627	43.98283924914552	207	1.0852506190755702
chr1-12000000	1.362236878075136	1.1573660762593179	1.0480441483657497	47.38151833883173	166	1.0689899275327
chr1-13000000	0.7732764717003429	0.7438231381483457	0.6745244373592235	70.21125742945922	8	0.6880052052540385
chr1-14000000	1.0691143703675359	0.833326127754518	0.8393224114040646	44.056455911790515	65	0.8560967638075919
chr1-15000000	1.2138750066797925	1.0405967596806365	0.9508708956354831	57.16783872264852	229	0.9698746101520117
chr1-16000000	1.580836905102536	1.0589672065396123	1.2353486079053595	64.31775444816782	237	1.260037776940589
chr1-17000000	1.3022529462148118	1.1082635157173406	0.9544821950254657	39.68736896779063	238	0.9735580834858557
chr1-18000000	1.4918046609395508	1.148462365465946	1.036621350496883	28.91089369715247	155	1.0573388383251499
chr1-19000000	1.3182681049289815	0.9718668070742656	1.0341510133382361	47.34572291873706	188	1.0548191300243868
chr1-20000000	1.3343180117771856	0.9179256454098172	0.9860284450800593	43.71658458443947	166	1.0057348039154037
chr1-21000000	1.4049208182643904	1.046945282459912	1.0631727801523743	43.21138687242528	236	1.0844209139300487
chr1-22000000	1.389047587639642	0.980025248025102	0.9873769707663267	28.70330426610248	266	1.0071102806812315
chr1-23000000	1.2410870414427453	0.9920484740906144	1.0220181540370972	74.84591040027765	196	1.0424437883889095
chr1-24000000	1.3938987803554017	1.0101898967173455	1.0948767121748166	48.99131674292275	238	1.1167584676943818
chr1-25000000	1.6670250134762794	1.1109030909841993	1.2333991539934352	41.0846350554721	198	1.2580493620448179
chr1-26000000	1.4773109956353154	0.9782686015741167	1.1377779336873088	63.1120204060067	240	1.1605170953697674
chr1-27000000	1.2789269993284025	0.9648856818440849	1.0057048770929524	65.47213353465956	222	1.0258044810033045
chr1-28000000	1.0994352650046952	0.9205894001822845	0.9729574945180047	70.01923714880158	162	0.9924026227130159
chr1-29000000	1.3214272805663445	1.014999524122298	0.984961993204656	34.91022808233579	163	1.0046470383715742
chr1-30000000	1.5013633175154844	1.0606088888195215	1.103354067543906	27.29778900950816	188	1.125405248000157
chr1-31000000	1.3236246655771795	1.0052313225384237	1.0465334720443564	47.72238200091308	234	1.067449059455864
chr1-32000000	1.273584588033488	1.000991082653685	1.0732399817257696	76.07001211489109	201	1.0946893144522805
chr1-33000000	1.3807915698862077	1.0621675788979172	1.0863529401376137	55.58596051984334	141	1.108064343056061
chr1-34000000	1.3026898819310953	1.08440235599159	0.9759506094551065	33.62919649145892	39	0.9954555568138348
chr1-35000000	1.15321505399967	0.975661765444204	0.998275183656692	64.07760917663325	105	1.0182263007707228
chr1-36000000	1.4414770689435132	1.0329457386286038	1.0651852111288174	53.89759011141474	220	1.0864735645240404
chr1-37000000	1.2635065604269804	0.9521114376348262	0.9291236063407088	51.34088710327598	170	0.9476926884805781
chr1-38000000	1.2625917975224965	1.0318191099926375	0.9604526442266026	42.931038122606715	124	0.9796478556283872
chr1-39000000	1.1282873199104753	0.9420372875224885	0.9225673024668107	51.34051841918124	185	0.9410053530148256
chr1-40000000	1.4155145054339069	0.9340594864449122	1.1317228024685235	50.966203498156496	162	1.1543409487896223
chr1-41000000	1.2796279331835068	1.0096221952841118	0.9734342982351706	43.37709798698427	214	0.9928889556331084
chr1-42000000	1.1845648274508316	0.9705209387454676	1.0204789767627809	70.05506535185825	124	1.040873849750831
chr1-43000000	1.3419744228859758	0.9771669927766156	1.008149991462272	50.06158559102042	206	1.0282984624224498
chr1-44000000	1.4827741894466646	0.9962738419069037	1.1366057459368886	62.14326942367279	186	1.1593214807572243
chr1-45000000	1.3101976865245175	0.9504692623319361	1.1407979181305943	74.74891159104507	103	1.163597435979666
chr1-46000000	1.4308867999475237	1.0421666240113088	1.0668236385944156	47.72112664932239	191	1.0881447369268906
chr1-47000000	1.3998289963936985	1.0214710654109147	0.974892727125778	34.8667988691451	135	0.9943765320835023
chr1-48000000	2.4344886342716667	1.0655044134812195	1.6836725177771084	52.08138425217267	5	1.717321704027338
chr1-50000000	1.0150036927553658	0.8888934954439353	0.9286319853826441	42.30483749068204	52	0.9471912421883063
chr1-51000000	1.1788081660804801	0.9931764126797787	1.0440559874971287	52.983008404949665	132	1.0649220609217525
chr1-52000000	0.9854425947098859	0.8906127949124921	0.8214501995106123	61.95049748596646	89	0.8378673652401536
chr1-53000000	1.3327200246882018	1.011002572862671	0.9658274244175381	37.1851237598111	249	0.9851300539649475
chr1-54000000	1.3981671245465015	1.0135827596940368	1.0328262832296131	37.36846536319911	246	1.0534679244048282
chr1-55000000	1.1212161027447802	0.9468797926207806	0.9935289419342364	44.19240973682571	126	1.0133852026138828
chr1-56000000	1.1526009675795186	0.9290090954796707	1.0039905529024098	31.805784553559754	78	1.0240558950347904
chr1-57000000	0.787908599003316	0.7992718638942853	0.7156098458867216	35.54547531066218	31	0.7299117298531667
chr1-58000000	1.2333534013973477	1.0399576485912119	1.0908168195325556	78.48537133404567	88	1.112617435708078
chr1-59000000	1.0388259923319685	1.0294089704923413	0.9847596179595687	44.91031709569507	96	1.004440618538099
chr1-60000000	1.1680044906237064	1.0736852550815335	1.1143865936525545	54.60772722457688	20	1.1366582656366535
chr1-61000000	1.0637329212610236	0.9862421131501569	1.0501934872138958	46.41306444771146	66	1.0711822221827925
chr1-62000000	1.1457874451681618	1.0331321675629448	1.0092866488984986	37.485940739403496	83	1.0294578366265577
chr1-63000000	1.0933695308359246	0.9915539533415149	0.9804212795504834	45.37497332976685	98	1.000015575882432
chr1-64000000	1.1247285288077418	0.9393987009162521	1.0366749090256095	48.88625599979078	113	1.0573934672525964
chr1-65000000	1.0277143157459463	0.8989242168873661	0.9878911233800869	44.246412885983595	99	1.0076347089375997
chr1-66000000	1.0674275757912222	0.9653547979692129	1.094637690383898	52.0772690035183	102	1.1165146689122873
chr1-67000000	1.1123933002159516	0.9923511414237206	1.018314400282668	54.60715294576398	137	1.0386660129357284
chr1-68000000	1.2023543220415391	1.0179088651844175	1.0967287012838633	41.727143686114786	61	1.1186474698958238
chr1-69000000	1.042188356371838	0.8715382184990195	0.9432483532410382	29.206066768613734	8	0.9620997267613085
chr1-70000000	1.026881256669176	0.9891856112282976	0.9741055425496025	57.60241138086706	42	0.9935736151602478
chr1-71000000	1.3062406870111705	0.9513946500325509	1.2742182146633736	29.31038559412923	36	1.2996842156676849
chr1-72000000	0.913593248600982	0.8954100399527356	0.8855444405801507	40.36050459418181	32	0.903242567442302
chr1-74000000	0.7226815660541736	0.8204365413803798	0.723541299955251	92.78437184394153	12	0.7380016986995813
chr1-75000000	0.6652972263865313	0.8506678352042284	0.6327623294581708	53.500836948649855	22	0.645408457046081
