	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.2413399028395298	1.0061075572545792	1.0434302220246434	61.90649033244926	66	1.0545936998426941
chr1-1000000	1.1644638750667848	0.9659398197655207	1.0323973568142124	59.86812883026058	332	1.0434427959331278
chr1-2000000	1.2283391354536208	1.0230637072662196	1.0923764210929918	43.94834542275768	183	1.104063565751473
chr1-3000000	1.1675403080119908	1.0405545772916853	1.0284672582114542	36.67793057667095	242	1.0394706498914048
chr1-5000000	0.8611674625648961	0.9547084106869591	0.7550044400678055	31.404598161052576	35	0.763082100788493
chr1-6000000	1.1787772521831104	0.9826323915581309	1.0028424060482122	44.04804887511751	279	1.0135716419076037
chr1-7000000	1.0833486961950936	0.9450807116986812	0.9118796385189066	38.712251595734934	189	0.9216356796057609
chr1-8000000	1.2381703802796247	1.04796472248482	1.0203138900591031	66.81398541628427	193	1.0312300502763359
chr1-9000000	1.3676045807231156	1.1123992123811315	1.1669681211157688	61.70206003138554	215	1.1794533093530521
chr1-10000000	1.4825969548421953	1.084368273464068	1.2657273644908646	41.38422083988773	207	1.2792691606349098
chr1-11000000	1.2703220154426715	1.1232039151673858	1.0753036909677802	43.98283924914552	207	1.086808177466642
chr1-12000000	1.2248191741940984	1.0718244695795514	1.0326597387866951	47.38151833883173	166	1.043707985084536
chr1-13000000	0.7313373346118697	0.9902134324748469	0.6356070769668242	70.21125742945922	8	0.6424073261401202
chr1-14000000	1.0500416602883536	0.9592391684116791	0.8706000980950365	44.056455911790515	65	0.8799144965841068
chr1-15000000	1.2308816869321537	1.0706604815084846	1.0590875713149737	57.16783872264852	229	1.0704185643801416
chr1-16000000	1.2127465314623247	1.0225688661570715	1.042697136194776	64.31775444816782	237	1.0538527708554908
chr1-17000000	1.1699376664265462	1.0253930460778835	1.0092441948898234	39.68736896779063	238	1.0200419223706199
chr1-18000000	1.2257810348588205	1.0714146840955971	1.0521317899489473	28.91089369715247	155	1.0633883643233895
chr1-19000000	1.342368125008235	1.06049089974242	1.0936898176323355	47.34572291873706	188	1.105391014091142
chr1-20000000	1.412593452588302	1.0646422909912954	1.1523511523327075	43.71658458443947	166	1.1646799561723258
chr1-21000000	1.2834412326562212	1.0471131193872185	1.0868425686831455	43.21138687242528	236	1.09847050762061
chr1-22000000	1.3849822455008336	1.0608975018536089	1.1442324245233282	28.70330426610248	266	1.156474367511212
chr1-23000000	1.2823379818875855	1.0272526965465938	1.0703417419681258	74.84591040027765	196	1.0817931414407325
chr1-24000000	1.4853339803605188	1.0757121309652609	1.2065889431763197	48.99131674292275	238	1.2194980276731417
chr1-25000000	1.5273608994748593	1.1340534414899452	1.2610768444756835	41.0846350554721	198	1.2745688855178194
chr1-26000000	1.3218023500842726	1.0182854019878769	1.100549876232237	63.1120204060067	240	1.1123244672606027
chr1-27000000	1.2960433332005739	1.0591623094398972	1.104198831833416	65.47213353465956	222	1.1160124624008452
chr1-28000000	1.3184957915978461	1.0559791456322696	1.061707644641281	70.01923714880158	162	1.0730666694136417
chr1-29000000	1.1758009751650331	1.025872888903192	0.9959926461014478	34.91022808233579	163	1.0066485975747725
chr1-30000000	1.349012212400385	1.1008133196059933	1.1195039029086822	27.29778900950816	188	1.1314812797600946
chr1-31000000	1.4499902605315769	1.1206435763560807	1.1990264862879203	47.72238200091308	234	1.211854661378496
chr1-32000000	1.2196620764342818	1.058137660849301	1.0306296751837194	76.07001211489109	201	1.0416562021854132
chr1-33000000	1.3641073659054739	1.1231325597628457	1.1215604591791066	55.58596051984334	141	1.133559838767091
chr1-34000000	1.0966230447129819	1.1303523615979167	0.9702062256138405	33.62919649145892	39	0.9805862926753052
chr1-35000000	1.2984872650120196	1.0646029896910147	1.0403691171798937	64.07760917663325	105	1.0514998447715163
chr1-36000000	1.2005130765958727	1.0226137164052345	0.9890692956877482	53.89759011141474	220	0.9996511754434453
chr1-37000000	1.2203785893037602	0.9992962291968365	1.0094515995572566	51.34088710327598	170	1.020251546024388
chr1-38000000	1.2818656311177457	1.0901359229131833	1.071737013082068	42.931038122606715	124	1.0832033403167827
chr1-39000000	1.2425497372545924	1.0260070622765598	1.0223470593859003	51.34051841918124	185	1.0332849721268773
chr1-40000000	1.6917957630889005	1.1361802394203926	1.3547112505460082	50.966203498156496	162	1.369205069755106
chr1-41000000	1.4303934874397521	1.13998458808523	1.1784050002970312	43.37709798698427	214	1.1910125497084045
chr1-42000000	1.1920263249143421	1.0147143014773643	0.9943298481859901	70.05506535185825	124	1.0049680096746534
chr1-43000000	1.3276818323589645	1.1356351467838157	1.104825135978384	50.06158559102042	206	1.116645467264541
chr1-44000000	1.2997640743681196	1.0409092316476436	1.0684068825704842	62.14326942367279	186	1.079837581320119
chr1-45000000	1.5323916322575728	1.089268970284268	1.2472378304566936	74.74891159104507	103	1.2605818103033959
chr1-46000000	1.263551983740809	1.0357587093462195	1.0361070770215866	47.72112664932239	191	1.047192205789481
chr1-47000000	1.078824762798742	0.9718127473935066	0.8728018382658497	34.8667988691451	135	0.8821397927887008
chr1-48000000	1.0730428095722266	0.9984236827019588	0.9203520690395844	52.08138425217267	5	0.9301987551817439
chr1-50000000	1.5565781490066908	1.1149103635167115	1.1872725442866108	42.30483749068204	52	1.1999749660033272
chr1-51000000	1.409747461349147	1.0977664446216318	1.1059391737814779	52.983008404949665	132	1.1177714239636383
chr1-52000000	1.1995669273402672	1.0689288355517799	0.9696128851914501	61.95049748596646	89	0.9799866042073012
chr1-53000000	1.2911089866226775	1.140734988405233	1.071007654590322	37.1851237598111	249	1.0824661785458407
chr1-54000000	1.315621922596999	1.00698183351	1.0885451655891318	37.36846536319911	246	1.1001913203137106
chr1-55000000	1.4154152995183311	1.0518926168647758	1.1127303599177298	44.19240973682571	126	1.1246352678149822
chr1-56000000	1.3522327505283926	1.024347940653795	1.0389473492807533	31.805784553559754	78	1.050062865625788
chr1-57000000	1.0600582412449129	1.035034848255368	0.8601827673943648	35.54547531066218	31	0.8693857126805803
chr1-58000000	1.3248306737008755	1.086862690609136	1.0467415003419056	78.48537133404567	88	1.0579404049486996
chr1-59000000	1.3722612401779972	1.1956103246687346	1.0895376409640076	44.91031709569507	96	1.1011944140093888
chr1-60000000	1.0425031418961184	0.8504732387687317	0.8006431500298307	54.60772722457688	20	0.8092090913423118
chr1-61000000	1.1202478317830655	1.061895005910651	0.8798073085923547	46.41306444771146	66	0.8892202134194468
chr1-62000000	0.9914929838931654	0.9003662781109244	0.7671875815919073	37.485940739403496	83	0.7753955876172329
chr1-63000000	1.1768067911071618	1.0281991969733002	0.934198733606239	45.37497332976685	98	0.9441935627957062
chr1-64000000	1.3733966399438673	1.0277835984644306	1.0674844943030817	48.88625599979078	113	1.0789053245816433
chr1-65000000	1.2370094572595642	0.9853644037949639	0.9668491764239456	44.246412885983595	99	0.9771933270020897
chr1-66000000	1.310113986107437	1.0966978893152486	1.0131634233003073	52.0772690035183	102	1.0240030819217787
chr1-67000000	1.3203964281820981	1.115674109695007	1.0578799460938868	54.60715294576398	137	1.0691980189876014
chr1-68000000	1.6099842948018814	1.2410225349270074	1.2295162125657442	41.727143686114786	61	1.2426705919158827
chr1-69000000	0.708093124880002	0.554612141297741	0.5504184274821673	29.206066768613734	8	0.5563072581640319
chr1-70000000	1.2367967907799022	1.0387223216018002	0.9808255699641464	57.60241138086706	42	0.9913192515372425
chr1-71000000	1.5930470526998874	1.0342982513102017	1.1571339189183587	29.31038559412923	36	1.1695138927428603
chr1-72000000	1.5004296110940067	1.2422291080030385	1.1145367853791273	40.36050459418181	32	1.1264610199070855
chr1-74000000	0.9032114414263299	0.9315837198398944	0.6834160322013704	92.78437184394153	12	0.6907277810418213
chr1-75000000	0.9744393356048121	0.9501903580713625	0.7687029771117174	53.500836948649855	22	0.7769271960892021
chr1-76000000	0.9633587458370325	0.7659065812038727	0.7337023314977573	35.769831566958004	24	0.7415520846770685
chr1-77000000	1.224127488860812	1.0791652344325824	0.9758183812264272	56.072875588480706	85	0.9862584917612072
chr1-78000000	1.5609809339578804	1.1891094307824746	1.201680475295086	43.683122586527716	85	1.2145370449508042
chr1-79000000	1.7708746955608645	1.209622193874555	1.3190276518791826	40.91814145400411	35	1.3331396984946016
chr1-80000000	1.1607411899351403	0.8638592924625833	0.8167640631093679	20.244322823226895	21	0.8255024792570334
chr1-81000000	1.370512001007615	1.057538996483896	1.0759776372666203	52.64080199516921	37	1.0874893341992982
chr1-82000000	0.2796474370730406	0.35659322151929057	0.22234272774928643	29.48654819918282	11	0.22472153378426765
chr1-83000000	1.4433482276359146	0.9760034027885649	1.0506295135685453	30.66483172285717	22	1.061870015350211
chr1-84000000	1.2398257409176363	1.0614543315578173	0.9897801816262264	64.32301865483089	99	1.0003696670264965
chr1-85000000	1.2268867823557488	1.0041900654315037	0.9858102823870136	80.68783574864437	104	0.9963572945282565
chr1-86000000	1.1795718495145968	1.1161005322375122	0.9201404152187362	44.58393441445203	61	0.9299848369136099
chr1-87000000	1.302071480069547	1.1010340944889048	1.0022439474136016	57.344768330860774	45	1.0129667804685205
chr1-88000000	1.0501176849885587	0.923315977823418	0.8226811199901669	61.193468012623754	44	0.8314828416965968
chr1-89000000	1.2778132883502817	1.0596912723103395	0.9989602274910564	56.510986507456785	96	1.0096479285996869
chr1-90000000	1.5447107560770081	1.1700564893908694	1.173544838038739	20.14531090133921	37	1.1861003894224365
chr1-91000000	1.2336471639670243	1.04234503609454	0.9811526569452002	51.76512714281222	76	0.9916498379648147
chr1-92000000	1.4021293095483744	1.079672677353479	1.0741004856957292	55.59175361947202	85	1.085592099311401
chr1-93000000	1.339302627413426	1.017882736318147	1.061233288701336	65.7875131374462	136	1.0725872384222925
chr1-94000000	1.392049085629044	1.08038761186528	1.1136387831011323	56.05175054969365	174	1.1255534100594617
chr1-95000000	1.9351707199069557	1.1525482256211728	1.4466362547468057	48.51068634405106	36	1.462113563530634
chr1-96000000	1.3542503464874678	1.1162430607257732	1.0250783505203924	46.58334460529361	49	1.0360454848684792
chr1-97000000	1.3826668789118313	1.1219256368762376	1.0214691747805509	34.259294691303346	88	1.0323976951873672
chr1-98000000	1.3986240306440836	1.0498250214197202	1.0516050747566048	41.54547118818869	66	1.0628560138971404
chr1-99000000	1.5256212013479955	1.0467939330140523	1.1511985507011284	35.55223174832773	54	1.1635150230570734
chr1-100000000	1.285504810308645	1.046040112428567	0.9870813507349833	62.71365836556131	69	0.9976419618146202
chr1-101000000	1.3163412728853865	1.1097253729993815	1.0168208888733803	36.46072449507301	41	1.0276996780806191
chr1-102000000	0.9320137507237806	0.9718536399696308	0.7571204140719245	47.09080155256156	11	0.7652207132291456
chr1-103000000	0.7734575530620027	0.8681325329772566	0.6610247931918076	61.968716803320724	7	0.668096982074414
chr1-104000000	0.26283612994036715	0.22538971664220106	0.1965801910594064	15.785657797595427	3	0.19868336821111057
