	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.6345271577787739	1.2925193476231227	1.4487704363968368	61.90649033244926	66	1.4883275325162824
chr1-1000000	1.2084400225990934	0.988720654369318	1.0409012384238259	59.86812883026058	332	1.069321911088562
chr1-2000000	1.2953802596401451	0.999930626442527	1.0685835898202256	43.94834542275768	183	1.0977600988876723
chr1-3000000	1.2557972478561423	1.041465304293168	1.0272767184459757	36.67793057667095	242	1.0553253884574236
chr1-5000000	0.9348641418585183	0.8903032938443458	0.7533310439463348	31.404598161052576	35	0.7738999261974528
chr1-6000000	1.2429623593108718	0.9623227519767056	1.0081563021929072	44.04804887511751	279	1.0356829100994382
chr1-7000000	1.0701937689163235	0.9550155537868764	0.8333675823885116	38.712251595734934	189	0.8561217749998403
chr1-8000000	1.1919724868172625	1.0901757898653393	0.9758050710970494	66.81398541628427	193	1.0024483639345458
chr1-9000000	1.3428989524114467	1.0736331501379128	1.105492733636061	61.70206003138554	215	1.1356770066065596
chr1-10000000	1.3879977705278956	1.0412943626193707	1.1284862068353672	41.38422083988773	207	1.1592982915050931
chr1-11000000	1.2069182330655295	1.050274370176081	0.966171198004753	43.98283924914552	207	0.9925514484482715
chr1-12000000	1.4642271718920485	1.2794920166883401	1.175387656827587	47.38151833883173	166	1.2074803344186442
chr1-13000000	1.184064449703404	0.9270513267303041	0.8125415342054773	70.21125742945922	8	0.8347270942929306
chr1-14000000	0.9773484378367139	0.8082992108126065	0.7633288743486929	44.056455911790515	65	0.7841707364510534
chr1-15000000	1.1370942630255747	1.0503929638079095	0.9205159969768908	57.16783872264852	229	0.9456496819673597
chr1-16000000	1.237699117097204	1.0079880560701875	1.0257632612480385	64.31775444816782	237	1.053770607961918
chr1-17000000	1.1944676809967383	1.0163093903012037	0.967073637905838	39.68736896779063	238	0.99347852848627
chr1-18000000	1.1741490901193727	0.9674231894531139	0.9282685416337286	28.91089369715247	155	0.9536139013978239
chr1-19000000	1.3890975601042923	1.0511271046711463	1.0968366215604173	47.34572291873706	188	1.1267845488347346
chr1-20000000	1.3207281830922462	0.9779263248406791	1.043416483996701	43.71658458443947	166	1.0719058326976059
chr1-21000000	1.1916977519016347	0.970747961936846	0.9607530795958664	43.21138687242528	236	0.9869853942275388
chr1-22000000	1.2170227441092076	0.9332306282017379	0.9605465071251664	28.70330426610248	266	0.9867731815209023
chr1-23000000	1.311931409284131	1.074176055117653	1.061019552557494	74.84591040027765	196	1.0899895338400438
chr1-24000000	1.4642107829341118	1.022938156664135	1.1632084976514205	48.99131674292275	238	1.1949686365889531
chr1-25000000	1.5823761138531163	1.1584107594482986	1.2685262839889633	41.0846350554721	198	1.303162010177988
chr1-26000000	1.4488120449227802	1.0593535430258687	1.1595172683591242	63.1120204060067	240	1.1911766223080582
chr1-27000000	1.2274691513185174	1.0690213790491183	1.0320153003074306	65.47213353465956	222	1.060193352126689
chr1-28000000	1.1996557238919698	1.0334056616000187	0.9724352215758495	70.01923714880158	162	0.9989865043487635
chr1-29000000	1.3556212629682969	1.0240459664338757	1.0827216406927713	34.91022808233579	163	1.1122841738143103
chr1-30000000	1.4379520462377895	1.0527151118238736	1.1297027339774603	27.29778900950816	188	1.1605480345935384
chr1-31000000	1.4742079153372514	1.1013425633029794	1.1972479229873902	47.72238200091308	234	1.2299374712958198
chr1-32000000	1.245475579037305	1.0699949560259359	1.0308271434345886	76.07001211489109	201	1.0589727539267442
chr1-33000000	1.5284391270095379	1.1744123799470754	1.2039750241539606	55.58596051984334	141	1.2368482486203003
chr1-34000000	1.2001639496310572	1.1324966703988375	0.9885633327964053	33.62919649145892	39	1.015554976050006
chr1-35000000	1.3301039936259826	1.0968597208747508	1.041810826139533	64.07760917663325	105	1.0702563341044624
chr1-36000000	1.1407935764483843	0.9664444740748757	0.8951894223632282	53.89759011141474	220	0.9196315928658251
chr1-37000000	1.1808771286658335	0.984931324350521	0.9361454512020605	51.34088710327598	170	0.9617058813880051
chr1-38000000	1.3659587861095286	0.9824579546027488	1.0570453806653264	42.931038122606715	124	1.0859068515202859
chr1-39000000	1.3446838347303183	1.0777281420052869	1.067513186652127	51.34051841918124	185	1.0966604695289066
chr1-40000000	1.5675183198817368	1.0660704830008512	1.2334433238505516	50.966203498156496	162	1.2671211480894224
chr1-41000000	1.1885204577702386	0.937628456792428	0.9485695895867948	43.37709798698427	214	0.9744692473162752
chr1-42000000	1.3694960472167799	1.086818155887216	1.1152637288864076	70.05506535185825	124	1.145714788221806
chr1-43000000	1.2740535578604604	1.0311500430813136	1.0136337023194273	50.06158559102042	206	1.0413098646604266
chr1-44000000	1.4037147423000482	1.1151931277988156	1.1303457301451028	62.14326942367279	186	1.1612085870700126
chr1-45000000	1.7742111546777666	1.1355903952793986	1.36665358287211	74.74891159104507	103	1.403968567897694
chr1-46000000	1.38663454719581	1.0907231715825094	1.084939445077386	47.72112664932239	191	1.1145625329279643
chr1-47000000	1.110939129390401	0.9535286840049919	0.8344520179427836	34.8667988691451	135	0.8572358198837742
chr1-48000000	2.0142879210179023	1.0591013895836252	1.4408840372344442	52.08138425217267	5	1.4802258038290281
chr1-50000000	1.358495449746044	1.0349515941869976	1.101214177723967	42.30483749068204	52	1.1312816293933021
chr1-51000000	1.3546910671731118	1.0683460178729947	1.033276142045891	52.983008404949665	132	1.0614886197732067
chr1-52000000	1.2655954924548793	1.011516567772666	0.9997697643363701	61.95049748596646	89	1.0270673869766602
chr1-53000000	1.282639440799131	1.057931671385504	1.0042505243219224	37.1851237598111	249	1.031670489224992
chr1-54000000	1.3345812230673633	1.0103280657890967	1.0565920037905667	37.36846536319911	246	1.085441095684607
chr1-55000000	1.1890687882451432	0.9129625578666727	0.9293232945822633	44.19240973682571	126	0.9546974532248552
chr1-56000000	1.3361692898197803	0.9732544542340796	0.9958696701080795	31.805784553559754	78	1.0230608049305707
chr1-57000000	1.4319425057195383	1.0042359528389488	1.0757174761355395	35.54547531066218	31	1.1050887681855697
chr1-58000000	1.1670009845099782	1.041579864887495	0.9125621607587838	78.48537133404567	88	0.9374786749291603
chr1-59000000	1.080302844311534	1.0674847661187459	0.8415876850944818	44.91031709569507	96	0.8645663186418504
chr1-60000000	1.2932265330267527	1.1989174314581121	1.0404974395478486	54.60772722457688	20	1.0689070869248312
chr1-61000000	1.8731084410063585	1.2624772263059825	1.3969746642257523	46.41306444771146	66	1.4351175332966062
chr1-62000000	1.0288327059948854	0.998122631945941	0.794658487873195	37.485940739403496	83	0.8163557708914158
chr1-63000000	1.414915077274332	1.0920177162864717	1.0872666580629327	45.37497332976685	98	1.1169532879250312
chr1-64000000	1.58750644678392	1.0925342048309274	1.2035495580137776	48.88625599979078	113	1.2364111655913543
chr1-65000000	1.0972697549736858	0.9549612914897209	0.8309400727881185	44.246412885983595	99	0.853627984898285
chr1-66000000	1.2524203777134228	1.1121370799776347	0.9796356938922529	52.0772690035183	102	1.006383577705863
chr1-67000000	1.2562515743296825	1.0685514589331533	1.0006329754233103	54.60715294576398	137	1.0279541671005434
chr1-68000000	1.51486288641078	1.1058607007209758	1.0940969078274427	41.727143686114786	61	1.1239700302073805
chr1-69000000	0.8315280285250177	0.6337634546425187	0.6470261603360278	29.206066768613734	8	0.6646925037215698
chr1-70000000	1.2607095877015468	1.0955186589403854	0.9863601521920311	57.60241138086706	42	1.013291640002957
chr1-71000000	1.0160058375890528	0.8228025437777633	0.7498121516377426	29.31038559412923	36	0.770284954373578
chr1-72000000	1.0196669934710458	0.8362636214864991	0.762874288742249	40.36050459418181	32	0.7837037388805904
chr1-74000000	0.7956492990102259	0.7559850429145604	0.5984315253906493	92.78437184394153	12	0.6147710452870232
chr1-75000000	1.2692170552652122	0.9599226402509616	0.8517830780099359	53.500836948649855	22	0.8750400856374211
chr1-76000000	1.3173808447757132	0.9026237375441883	0.9178700864030822	35.769831566958004	24	0.9429315276920908
chr1-77000000	1.175531331472508	1.050101232314427	0.9299729056976405	56.072875588480706	85	0.9553648012629951
chr1-78000000	1.54663449973127	1.0993708122477122	1.1884867238789563	43.683122586527716	85	1.220937057204427
chr1-79000000	1.214659156012276	0.8938224452842993	0.8912677786495835	40.91814145400411	35	0.9156028729491951
chr1-80000000	0.830908412212924	0.4819399718457299	0.5186745240684014	20.244322823226895	21	0.532836366060642
chr1-81000000	1.2032546578225798	1.024733196706296	0.9760111556050162	52.64080199516921	37	1.002660075355159
chr1-82000000	0.6737475533878992	0.5806113819993544	0.48580225027261004	29.48654819918282	11	0.4990665506933655
chr1-83000000	1.1987707782362125	0.85465818990939	0.8430993485865854	30.66483172285717	22	0.8661192564563416
