	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.2448558373020087	1.0910833278387135	1.141329094411431	61.90649033244926	66	1.1507965285011141
chr1-1000000	1.1157810789278202	0.9763276124903632	1.0482758516991046	59.86812883026058	332	1.0569714002331458
chr1-2000000	1.0942180568201119	0.942741124367428	1.004507442297281	43.94834542275768	183	1.012839927685687
chr1-3000000	1.2022525558023132	1.0146766475260922	1.1013505750609334	36.67793057667095	242	1.110486383505737
chr1-5000000	1.0130978826206818	0.9738687989403708	0.8952628496707997	31.404598161052576	35	0.9026891407061397
chr1-6000000	1.200947611613941	0.9725962732747336	1.0818661007553398	44.04804887511751	279	1.0908402836206645
chr1-7000000	1.0681666999056658	0.9793955108384902	0.9299612250207699	38.712251595734934	189	0.9376753424010733
chr1-8000000	1.1623783133020331	1.0413719151771352	0.999201924243387	66.81398541628427	193	1.0074903998516753
chr1-9000000	1.1391288040009504	0.9433545426483494	0.9983428639602443	61.70206003138554	215	1.006624213581252
chr1-10000000	1.1879370939108251	1.0124400893003114	1.0556406535101162	41.38422083988773	207	1.0643972937801611
chr1-11000000	1.1856399395581394	1.0300221332697446	1.0342618789845328	43.98283924914552	207	1.0428411802734459
chr1-12000000	1.1259040132474953	1.0620032104276071	0.9827621260158516	47.38151833883173	166	0.9909142319241743
chr1-13000000	0.738429031211242	0.7178230704806658	0.6073230866456488	70.21125742945922	8	0.6123608897842131
chr1-14000000	1.2835399844869073	0.9905916919742641	1.07942551408944	44.056455911790515	65	1.0883794520547507
chr1-15000000	1.0818925077290342	1.0057889067903294	0.9488357335533346	57.16783872264852	229	0.9567064167886418
chr1-16000000	1.1142692518406068	0.9746429523267718	0.9992851662419474	64.31775444816782	237	1.007574332350582
chr1-17000000	1.0851195668211595	0.9694874518774961	0.965361468398901	39.68736896779063	238	0.9733692341866464
chr1-18000000	1.1613937158249985	0.9665184941855938	1.008608334886375	28.91089369715247	155	1.0169748375713574
chr1-19000000	1.1897235241085178	0.9770982410416551	1.0237283033732478	47.34572291873706	188	1.032220227644159
chr1-20000000	1.2803219750795878	0.9619631039412853	1.0789941004777555	43.71658458443947	166	1.087944459825861
chr1-21000000	1.0908894813596428	0.9608734182334875	0.9648835848874827	43.21138687242528	236	0.9728873865857565
chr1-22000000	1.1530470591827984	0.955278101774071	1.007237311373906	28.70330426610248	266	1.0155924412876138
chr1-23000000	1.0898972253580115	1.023657564811927	0.9362754973194176	74.84591040027765	196	0.9440419921928599
chr1-24000000	1.2493400491419602	0.9824402171502618	1.0679028152643448	48.99131674292275	238	1.076761171339913
chr1-25000000	1.3487987144920155	1.0286634315028071	1.1557218955352897	41.0846350554721	198	1.1653087192880187
chr1-26000000	1.2302962474608157	1.0368099049311876	1.0698192376681679	63.1120204060067	240	1.0786934906510217
chr1-27000000	1.15808804426045	1.0305467515306241	1.041164252406284	65.47213353465956	222	1.049800809543447
chr1-28000000	1.1287660631262475	1.0063120553420941	0.9568733936409018	70.01923714880158	162	0.964810750036025
chr1-29000000	1.205854042052459	1.011415121866724	1.055663824220911	34.91022808233579	163	1.06442065669422
chr1-30000000	1.460600393338731	1.1043351893052527	1.2479195153077838	27.29778900950816	188	1.258271127141966
chr1-31000000	1.2330695828758182	0.9891490784765609	1.089163665658959	47.72238200091308	234	1.0981983825237047
chr1-32000000	1.196194858768756	1.0159561501446155	1.05908739099044	76.07001211489109	201	1.0678726222778165
chr1-33000000	1.3928524734328043	1.104635117473999	1.1934971834051784	55.58596051984334	141	1.203397356786755
chr1-34000000	1.2426836019222962	1.1151326816195666	1.070367787471476	33.62919649145892	39	1.0792465907274573
chr1-35000000	1.195988642474913	1.0718054483755342	1.0235908446700988	64.07760917663325	105	1.0320816287079093
chr1-36000000	1.2202715896969112	0.9853153535526753	1.0503804811040038	53.89759011141474	220	1.0590934877404201
chr1-37000000	1.0837873972251937	0.9332363792955186	0.9309619985632509	51.34088710327598	170	0.9386844174558864
chr1-38000000	1.453008032773917	1.12298352464946	1.221272943606903	42.931038122606715	124	1.2314035195781343
chr1-39000000	1.2039270893533702	1.0327778479031227	1.012399881529226	51.34051841918124	185	1.0207978354565497
chr1-40000000	1.3330535883268013	0.9757854838030979	1.1253942256521432	50.966203498156496	162	1.1347294784801334
chr1-41000000	1.110079156659477	0.937789271255636	0.972617415567475	43.37709798698427	214	0.9806853701315454
chr1-42000000	1.1250110302364176	0.9588737066228825	0.9747117619581686	70.05506535185825	124	0.982797089326027
chr1-43000000	1.101389137335236	0.9689196584844233	0.944641914002277	50.06158559102042	206	0.9524778091029629
chr1-44000000	1.209916030090594	0.9906101026655102	1.0335540112282477	62.14326942367279	186	1.0421274406863632
chr1-45000000	1.599706429413237	1.0876936145909684	1.315122958694386	74.74891159104507	103	1.3260320295243808
chr1-46000000	1.201237277145497	1.0287535552493667	1.0236461833612165	47.72112664932239	191	1.032137426438767
chr1-47000000	1.2640062599404558	1.0747226852317173	1.0419587441406972	34.8667988691451	135	1.0506018916628483
chr1-48000000	0.5313729632258057	0.22479350766095593	0.4204783527682798	52.08138425217267	5	0.4239662609539772
chr1-50000000	1.2998099707067636	1.0594653511467953	1.0679479432269046	42.30483749068204	52	1.076806673643242
chr1-51000000	1.2895780329806312	1.027205071016828	1.0319364013208707	52.983008404949665	132	1.0404964125499618
chr1-52000000	1.0329063119059403	1.0060787136372022	0.8780110025083817	61.95049748596646	89	0.8852941878201094
chr1-53000000	1.1174674323084126	0.9986940752369696	0.9555287427211698	37.1851237598111	249	0.9634549451081997
chr1-54000000	1.1570553859016004	0.9660447970844129	0.9911172677414601	37.36846536319911	246	0.9993386803501767
chr1-55000000	1.1596010260389025	0.9561476654300016	0.9768281729913789	44.19240973682571	126	0.9849310561913474
chr1-56000000	1.3844871726258796	1.031776870024691	1.0972106715573422	31.805784553559754	78	1.1063121391062993
chr1-57000000	1.0930601815073206	1.0268336013759274	0.9003258800781693	35.54547531066218	31	0.9077941694353873
chr1-58000000	1.3411702679556128	1.1315390133289733	1.1057065982984637	78.48537133404567	88	1.1148785403729946
chr1-59000000	1.0970466354114945	1.0648183831017966	0.9159977277940095	44.91031709569507	96	0.9235960166281879
chr1-60000000	1.1605582664230447	0.8477966844912438	0.9253110845697193	54.60772722457688	20	0.9329866285898555
chr1-61000000	1.2463242978330733	1.0046685894321201	0.9962978629597441	46.41306444771146	66	1.0045622491016988
chr1-62000000	1.1691963553519122	1.0569497533103756	0.9664534997911018	37.485940739403496	83	0.9744703240837782
chr1-63000000	1.288397350606142	1.0316664710601113	1.0460101899516399	45.37497332976685	98	1.0546869446046097
chr1-64000000	1.5591424597360382	1.0563554861238411	1.2301722841139004	48.88625599979078	113	1.2403766809665098
chr1-65000000	1.26885550744715	1.013797446065465	0.981027552232838	44.246412885983595	99	0.9891652696855918
chr1-66000000	1.1674678631067417	1.002359642534016	0.9486731290618936	52.0772690035183	102	0.9565424634773793
chr1-67000000	1.1983353889730153	1.0470905930855907	1.0033295126101889	54.60715294576398	137	1.0116522269590853
chr1-68000000	1.326638867814409	1.0846401359909636	1.0171147638334685	41.727143686114786	61	1.0255518281608287
chr1-69000000	1.0902289521330832	0.9629481186847973	0.8816570291371074	29.206066768613734	8	0.8889704585887293
chr1-70000000	1.3647080780756125	1.0781928880639597	1.1057707764914981	57.60241138086706	42	1.1149432509302837
chr1-71000000	1.3280426185736476	1.0198471759346752	0.9999904657394646	29.31038559412923	36	1.0082854823749445
chr1-72000000	0.9805238726119208	0.9356922672297331	0.7713566691656384	40.36050459418181	32	0.7777551465730064
chr1-74000000	0.9451765911809948	0.8683508121162861	0.7323383522156757	92.78437184394153	12	0.73841316894899
chr1-75000000	1.551647277369362	1.100383355385271	1.1216892042122133	53.500836948649855	22	1.1309937235327032
chr1-76000000	1.3798240887694477	1.0617556356229463	1.0634244305278167	35.769831566958004	24	1.0722456379733105
chr1-77000000	1.1847046935263588	1.0704059154623593	0.9712553061317888	56.072875588480706	85	0.9793119618677049
chr1-78000000	1.3537337407555228	1.1022176925338665	1.1126836226260346	43.683122586527716	85	1.121913439785225
chr1-79000000	1.1587318096549906	1.0141829663071775	0.9447513583191185	40.91814145400411	35	0.9525881612708889
chr1-80000000	0.8357708600474196	0.758564535879173	0.6083273760422158	20.244322823226895	21	0.6133735098574582
chr1-81000000	1.0450660863714012	0.9286087564628118	0.8709595860976722	52.64080199516921	37	0.8781842792352897
chr1-82000000	0.7216860704840786	0.674562410585963	0.5384608649529149	29.48654819918282	11	0.5429274493708337
chr1-83000000	1.4923081676238887	1.028598199157481	1.0919053123414548	30.66483172285717	22	1.1009627714278707
chr1-84000000	1.1936841953040798	1.0454552544825373	1.0262652931808847	64.32301865483089	99	1.0347782620250987
chr1-85000000	1.182552606839373	0.9887044169986926	0.9638788836175916	80.68783574864437	104	0.9718743512226585
chr1-86000000	1.2212890060882944	1.1222942588706135	0.9418340068155523	44.58393441445203	61	0.9496466100573427
chr1-87000000	1.1375503362337085	0.9972486351321194	0.9360219097838707	57.344768330860774	45	0.9437863011244314
chr1-88000000	1.1969471161405725	0.9774071037394557	0.9587045334976633	61.193468012623754	44	0.9666570793731807
chr1-89000000	1.265704976691232	0.9751215407689464	1.0194413018983652	56.510986507456785	96	1.0278976650816771
chr1-90000000	1.6930737097105315	1.2833531693984463	1.3111114749072046	20.14531090133921	37	1.3219872700951933
chr1-91000000	1.3296575512473463	1.0815602844196412	1.0796820186226683	51.76512714281222	76	1.0886380843176355
chr1-92000000	1.0742060183959863	1.0036692076684834	0.8953356665641907	55.59175361947202	85	0.9027625616226316
chr1-93000000	1.165800598910215	0.9609848802198399	0.9773323877049879	65.7875131374462	136	0.9854394534142706
chr1-94000000	1.2101298039203383	1.0053760210360656	1.0252638783549992	56.05175054969365	174	1.033768540367374
chr1-95000000	1.3822094300125372	1.019795224298203	1.0616702864745295	48.51068634405106	36	1.0704769431271894
chr1-96000000	1.1246405436334543	0.9991339976918882	0.8878649452630468	46.58334460529361	49	0.8952298699731742
chr1-97000000	1.2175151195219212	1.0151404841548168	0.9722973103765519	34.259294691303346	88	0.9803626096374222
chr1-98000000	1.0910261024619778	0.9961621656997025	0.8697386609224869	41.54547118818869	66	0.8769532263689055
chr1-99000000	1.6399711803879238	1.185138037366517	1.2631444213435044	35.55223174832773	54	1.2736223252306278
chr1-100000000	1.3912794305250988	1.0190752772725742	1.1175865455196234	62.71365836556131	69	1.126857032893539
chr1-101000000	1.2774912375361018	1.1768873848004449	1.0151744844004023	36.46072449507301	41	1.0235954539241356
chr1-102000000	1.01404169358643	0.9486255080480066	0.8236328753331825	47.09080155256156	11	0.8304649888747498
chr1-103000000	0.6906570274345701	0.898226871851899	0.6485491159146021	61.968716803320724	7	0.653928892912235
chr1-104000000	0.17599480195403996	0.15441676736995766	0.11525600792360369	15.785657797595427	3	0.11621206754199047
chr1-105000000	0.23651356536872722	0.10157507326394105	0.16884510259435329	43.39233413446302	7	0.17024568888274733
chr1-106000000	1.141969458613463	0.7882994039431862	0.8152423947579112	32.79790879578211	13	0.822004908459944
chr1-107000000	1.1443012781013762	0.9087546317929593	0.9303432264517673	46.76668976520743	20	0.9380605125705072
chr1-108000000	1.4740414547680838	1.081971265822609	1.1794064559455655	58.78282214896957	63	1.1891897453940568
chr1-109000000	1.1130863508532807	0.9983511055324418	0.9962284713421542	67.61610025014573	189	1.0044922818739987
chr1-110000000	1.5760338823430207	1.2311298314417356	1.354130631214195	37.17472356382852	142	1.3653632744216764
chr1-111000000	1.412815978505613	1.0905623325619025	1.1517898274441014	49.14050518818824	95	1.1613440343156243
chr1-112000000	1.2336609861344805	1.0275002884098374	1.0223252267009315	64.93987358263834	115	1.030805512316539
chr1-113000000	1.2022712395319528	0.978679023953454	0.96225195972062	71.24293167733077	83	0.9702339318362274
chr1-114000000	1.7387140190729422	1.1347006706458056	1.4008071097086552	38.54473618696327	68	1.4124269387732646
chr1-115000000	1.1568406389946417	0.9461699946195304	0.977708129840412	58.238618635979456	115	0.9858183123666753
chr1-116000000	1.9144764336987867	1.2605397306432469	1.5635732482156284	48.48268515700531	96	1.5765432379796298
