	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.2416863494537922	1.05025420042378	1.1589739268946797	61.90649033244926	66	1.169527721568553
chr1-1000000	1.102809618191904	0.8961289938260557	0.9812236572114686	59.86812883026058	332	0.9901588306153288
chr1-2000000	1.2320081062366746	0.9534737155721205	1.0567580052989445	43.94834542275768	183	1.0663810060835948
chr1-3000000	1.3499825969792043	1.0314023106984083	1.1586237004574325	36.67793057667095	242	1.16917430591555
chr1-5000000	1.1920250126673317	0.9954426568998126	0.9975720215342184	31.404598161052576	35	1.006656065655799
chr1-6000000	1.3226056823674899	0.9690207822593381	1.1336975566048653	44.04804887511751	279	1.1440211807667457
chr1-7000000	1.257957578906706	1.0221668574100558	1.0486794446881824	38.712251595734934	189	1.0582288808585063
chr1-8000000	1.0170214065839365	0.9546402775832085	0.9054695874928301	66.81398541628427	193	0.9137149326969628
chr1-9000000	1.1228837495121813	0.9449200708491232	0.9842246049213232	61.70206003138554	215	0.9931871054161747
chr1-10000000	1.2789358313687675	1.0035182008364856	1.0981425257986264	41.38422083988773	207	1.1081423803863648
chr1-11000000	1.2101191272114795	0.9775700323684623	1.0325436566787833	43.98283924914552	207	1.0419461578839622
chr1-12000000	1.198016397758732	0.9927975064754457	1.0307521801869313	47.38151833883173	166	1.0401383679318852
chr1-13000000	0.7286661721521794	0.6932359156688231	0.6198843032116816	70.21125742945922	8	0.6255290649322337
chr1-14000000	0.9215620893250253	0.8119754461666553	0.807527059615833	44.056455911790515	65	0.8148805251106237
chr1-15000000	1.0445340902049924	0.9657609750560336	0.9115812997844389	57.16783872264852	229	0.919882299179865
chr1-16000000	1.1095652925516277	0.9477263320127894	0.9797689509007084	64.31775444816782	237	0.988690877525363
chr1-17000000	1.2266921712229601	1.0070402310379665	1.0475691564615293	39.68736896779063	238	1.057108482176647
chr1-18000000	1.1539762598344367	0.9417001689150448	0.9626032605274617	28.91089369715247	155	0.9713688737377845
chr1-19000000	1.12693873307141	0.952287567881661	0.981636514186483	47.34572291873706	188	0.9905754471293999
chr1-20000000	1.207108345740669	0.9190505279212636	1.0126781036962778	43.71658458443947	166	1.0218997061233261
chr1-21000000	1.0304958636882282	0.9254064928505374	0.9129126899686947	43.21138687242528	236	0.9212258132077288
chr1-22000000	1.154228090855318	0.9096839508302159	0.9632902288888389	28.70330426610248	266	0.9720620977386244
chr1-23000000	1.0268223778813972	0.9490702662666838	0.9122123273998767	74.84591040027765	196	0.9205190730297368
chr1-24000000	1.238400775742723	0.9904662109826542	1.0674666817316238	48.99131674292275	238	1.077187197369436
chr1-25000000	1.2896759205159336	0.9907996867593731	1.0986631439703227	41.0846350554721	198	1.1086677393871343
chr1-26000000	1.1744554384244792	0.9744728540524112	1.0258795877853493	63.1120204060067	240	1.0352214049551398
chr1-27000000	1.0505060770743262	0.9791182458399209	0.9384448121460403	65.47213353465956	222	0.9469904348130554
chr1-28000000	1.0808411253028252	0.9302593184675055	0.9394953921898536	70.01923714880158	162	0.9480505816001867
chr1-29000000	1.1961620309862746	0.9939844308252478	1.0142662876753625	34.91022808233579	163	1.0235023523497753
chr1-30000000	1.4098499940471236	1.05978960016284	1.156585133217431	27.29778900950816	188	1.1671171751690013
chr1-31000000	1.2809963084784344	1.0270435022208648	1.1147889169113874	47.72238200091308	234	1.1249403560945928
chr1-32000000	1.0532986199580565	0.9491272958443578	0.9444866908768617	76.07001211489109	201	0.9530873318200346
chr1-33000000	1.2372192819292485	1.056320896294046	1.06837521388698	55.58596051984334	141	1.0781040027582098
chr1-34000000	1.2399630686186782	1.088227342328816	1.05028138472328	33.62919649145892	39	1.059845408405728
chr1-35000000	1.163198644547607	0.9908934816544087	1.025284287480467	64.07760917663325	105	1.0346206837542036
chr1-36000000	1.2814382007195821	0.9480360315739498	1.0594430429783812	53.89759011141474	220	1.0690904941287411
chr1-37000000	1.2430235489947885	0.9489463040110521	1.0451021414978845	51.34088710327598	170	1.0546190021956456
chr1-38000000	1.2700552513280985	1.002159094664461	1.0762998232085699	42.931038122606715	124	1.0861007747900298
chr1-39000000	1.1189382183100776	0.9449170010053163	0.9679014826681863	51.34051841918124	185	0.9767153423034822
chr1-40000000	1.2698014837537928	0.9573004781371312	1.1037142472778552	50.966203498156496	162	1.113764838817571
chr1-41000000	1.1890854659236283	1.0023271767293922	1.0122704997206418	43.37709798698427	214	1.0214883904432528
chr1-42000000	1.0894168423862993	0.9001566508939195	0.96153794397492	70.05506535185825	124	0.9702938562490118
chr1-43000000	1.1639886448214736	0.9666793534110076	1.0016329590377213	50.06158559102042	206	1.0107539826802392
chr1-44000000	1.2166159826325265	0.966912407286212	1.048455696552269	62.14326942367279	186	1.0580030952376844
chr1-45000000	1.4873607745282824	1.020542461488555	1.284746052503062	74.74891159104507	103	1.2964451474796987
chr1-46000000	1.2578837650273986	1.0085853720066487	1.0523538079086299	47.72112664932239	191	1.061936703395066
chr1-47000000	1.165054865530935	0.8947783312557875	0.9429403054940829	34.8667988691451	135	0.9515268648143325
chr1-48000000	0.48803241855043866	0.08706602845430392	0.37209807366824443	52.08138425217267	5	0.37548645590610924
chr1-50000000	1.1407260988456516	0.9794336847759662	1.0041584352061979	42.30483749068204	52	1.013302456222787
chr1-51000000	1.2252751214303883	1.006725957251802	1.039574531201032	52.983008404949665	132	1.049041056630021
chr1-52000000	0.8914867907484155	0.8846079744472548	0.7753781127073275	61.95049748596646	89	0.7824388249513502
chr1-53000000	1.2212319384939834	0.9953147988826472	1.025350055417782	37.1851237598111	249	1.0346870505844619
chr1-54000000	1.234523841387635	0.9355058316289009	1.041398985889806	37.36846536319911	246	1.0508821250835487
chr1-55000000	1.144025308192146	0.974648841702627	0.994884627255145	44.19240973682571	126	1.0039441995514575
chr1-56000000	1.0178923315226531	0.8527412780243812	0.8502870645405713	31.805784553559754	78	0.8580299092109908
chr1-57000000	0.8321266419887161	0.8527495464593595	0.7405041545988174	35.54547531066218	31	0.7472472992213418
chr1-58000000	1.2340137642202516	1.0749328007394787	1.0716844947397997	78.48537133404567	88	1.0814434184310011
chr1-59000000	0.9920151315695973	1.0130830453132074	0.8804012408965903	44.91031709569507	96	0.8884183098844504
chr1-60000000	1.0958141349372676	0.9484560952169	0.9480974195414309	54.60772722457688	20	0.9567309403346718
chr1-61000000	0.9342953202085357	0.8269843348967322	0.8151343177863751	46.41306444771146	66	0.8225570561430481
chr1-62000000	1.0459247597607406	0.9127978311473272	0.8989831551706162	37.485940739403496	83	0.9071694339252749
chr1-63000000	1.047466516697309	0.9768973749931632	0.9090496759375304	45.37497332976685	98	0.9173276219771805
chr1-64000000	1.2154784287759608	0.9429625899982389	1.0438882374673584	48.88625599979078	113	1.053394044168481
chr1-65000000	1.1205412634907008	0.8742901671371959	0.9758847804333309	44.246412885983595	99	0.9847713372048423
chr1-66000000	1.252889832048338	1.0987885615229076	1.0864761986598794	52.0772690035183	102	1.096369817879968
chr1-67000000	1.1346054606956049	1.0124068218363387	1.0007676427088699	54.60715294576398	137	1.009880786647927
chr1-68000000	1.19320431606881	1.044104947261389	1.006408737365197	41.727143686114786	61	1.0155732499790424
chr1-69000000	1.2228516211256397	0.9860748342906247	1.0520994998031716	29.206066768613734	8	1.061680079520921
chr1-70000000	1.1005522016044846	0.9959245184746388	0.9699267481397149	57.60241138086706	42	0.9787590501536102
chr1-71000000	1.3887512699954936	1.064586889542067	1.1500361787958011	29.31038559412923	36	1.1605085849620527
chr1-72000000	0.9523593786714916	1.000454923539138	0.8091422578065134	40.36050459418181	32	0.8165104315442303
chr1-74000000	0.649475121909966	0.8098472156653679	0.5569097482190941	92.78437184394153	12	0.5619810539647986
chr1-75000000	0.7190587032683963	0.8526437615619988	0.6406190889126354	53.500836948649855	22	0.6464526647780242
chr1-76000000	1.0173978778171013	0.7848522090539609	0.8604961702109154	35.769831566958004	24	0.8683319805663674
chr1-77000000	1.0639283823835006	0.9799812291943313	0.924358639727031	56.072875588480706	85	0.9327759915434246
chr1-78000000	1.1761905729537314	1.0156783276895855	1.0475353409167492	43.683122586527716	85	1.05707435870232
chr1-79000000	1.23653814424421	0.988262906323734	1.1006341920606133	40.91814145400411	35	1.1106567361442194
chr1-80000000	1.196496338312231	0.9339340582928796	0.9489298764033652	20.244322823226895	21	0.9575709776767116
chr1-81000000	0.9555970378770822	0.9526204694541137	0.8549924971974843	52.64080199516921	37	0.8627781902607453
chr1-82000000	0.757102636829925	0.7162587555750947	0.6393661533644686	29.48654819918282	11	0.6451883198062214
chr1-83000000	1.383372775626924	0.9752781124899101	1.1178624993046586	30.66483172285717	22	1.1280419270014441
chr1-84000000	1.1775195553158617	0.9957681396202934	1.0611467067724347	64.32301865483089	99	1.0708096717470994
chr1-85000000	1.2136538814405822	1.0339313018295595	1.0656289958330045	80.68783574864437	104	1.075332777220633
chr1-86000000	1.093277646011909	1.0661507283965195	0.9132627186773454	44.58393441445203	61	0.9215790293315882
chr1-87000000	1.102325863659894	0.9493136682449872	0.9581048477585237	57.344768330860774	45	0.9668294977309168
