	Peak-level_FC	Interval-level_FC	Perm-scaled_FC	Average_Height_Parent	Peak_count	FC_centered
chr1-0	1.0516043949016252	0.9434525649162724	0.9296292541127833	61.90649033244926	66	0.9441338959831461
chr1-1000000	1.1538754448173023	0.9486948947994286	1.0236415989145142	59.86812883026058	332	1.0396130786524564
chr1-2000000	1.2118372203780408	1.0061349710358702	1.0594261806138512	43.94834542275768	183	1.07595599319226
chr1-3000000	1.266493237419939	1.0930333284095457	1.113399220832748	36.67793057667095	242	1.1307711536602412
chr1-5000000	0.9176705176671963	1.0106519095805953	0.7824533680322884	31.404598161052576	35	0.7946616820815262
chr1-6000000	1.2808072436963018	1.036753049399434	1.0854416915932301	44.04804887511751	279	1.102377414020281
chr1-7000000	1.1788306129744812	0.9718178392640346	0.988964058183039	38.712251595734934	189	1.0043944778080063
chr1-8000000	1.2316633382561955	1.029787229731232	1.0049016771091377	66.81398541628427	193	1.020580765172374
chr1-9000000	1.2787568802215445	1.073168411106365	1.0936275036687604	61.70206003138554	215	1.1106909461218846
chr1-10000000	1.4203607404626637	1.0984871688305793	1.2014023873205422	41.38422083988773	207	1.2201473991553022
chr1-11000000	1.2369824315030988	1.0746333844469995	1.048979119506197	43.98283924914552	207	1.0653459306737811
chr1-12000000	1.2155440565215863	1.0822093577698957	1.0276987039783307	47.38151833883173	166	1.0437334851407072
chr1-13000000	0.9073790258376845	1.0030693061210938	0.7317489167262998	70.21125742945922	8	0.7431661090416067
chr1-14000000	1.2212969525505453	1.0214379278614738	0.9936785993262336	44.056455911790515	65	1.0091825780937973
chr1-15000000	1.1901099327403515	1.0603061001155776	1.006599621834047	57.16783872264852	229	1.0223052022651187
chr1-16000000	1.283530246825869	1.0773057360887468	1.1107544048063072	64.31775444816782	237	1.1280850716031685
chr1-17000000	1.241211080285188	1.0423147207552006	1.058007235279916	39.68736896779063	238	1.074514908608929
chr1-18000000	1.341905931131171	1.0648559670388762	1.1415334147702065	28.91089369715247	155	1.159344314428368
chr1-19000000	1.323917211674345	1.1022973115127406	1.096199997696448	47.34572291873706	188	1.1133035777683276
chr1-20000000	1.4405876162950542	1.0709968106917385	1.1651483401282963	43.71658458443947	166	1.1833276942360127
chr1-21000000	1.2473638574378998	1.0546444996422968	1.0579220981611492	43.21138687242528	236	1.0744284431289772
chr1-22000000	1.3284856089774504	1.0393273332748703	1.0977916715147866	28.70330426610248	266	1.1149200858510864
chr1-23000000	1.2341423413377866	1.0225230771368945	1.047029820451429	74.84591040027765	196	1.0633662174678205
chr1-24000000	1.412387212467551	1.0487207670424814	1.1348723279486044	48.99131674292275	238	1.1525792972728317
chr1-25000000	1.441000652803731	1.0699501409295034	1.1968296454373317	41.0846350554721	198	1.2155033105679212
chr1-26000000	1.3450574189553666	1.0123662916719824	1.1187453507973901	63.1120204060067	240	1.1362006972009802
chr1-27000000	1.2545228823154428	1.0616102667184402	1.0696195316403385	65.47213353465956	222	1.0863083870903478
chr1-28000000	1.29131420699974	1.0392611974671597	1.0469023982128502	70.01923714880158	162	1.063236807109861
chr1-29000000	1.2490841397276724	1.0466914504547933	1.0649555774110253	34.91022808233579	163	1.0815716630062817
chr1-30000000	1.5261485896630484	1.165751159196952	1.2583159517916038	27.29778900950816	188	1.2779489637259374
chr1-31000000	1.4814002976734915	1.1387190211020704	1.2257884383265691	47.72238200091308	234	1.2449139361829449
chr1-32000000	1.2725098087317823	1.0566578105568527	1.0848255884194324	76.07001211489109	201	1.1017516980294906
chr1-33000000	1.436062754207539	1.1593384907244777	1.193773470173153	55.58596051984334	141	1.2123994509957199
chr1-34000000	1.0550960276818135	1.0029510785423825	0.9328538984128202	33.62919649145892	39	0.9474088531477195
chr1-35000000	1.3804648668073913	1.1372788483929503	1.1287552714414195	64.07760917663325	105	1.1463667987240536
chr1-36000000	1.352867459776708	1.0361597429165406	1.1159003095795241	53.89759011141474	220	1.133311265917086
chr1-37000000	1.181370492468673	0.9800913441521046	0.9739593346548681	51.34088710327598	170	0.989155641443802
chr1-38000000	1.2440140015115702	1.1161444402201073	1.0385976651648559	42.931038122606715	124	1.054802498558345
chr1-39000000	1.3387617964901481	1.0958159655911779	1.1084512307923786	51.34051841918124	185	1.1257459620653854
chr1-40000000	1.7008899273614366	1.141439077543852	1.3532193017421144	50.966203498156496	162	1.3743330535490799
chr1-41000000	1.4068664087889307	1.1339149135858155	1.1580594689732335	43.37709798698427	214	1.176128218195277
chr1-42000000	1.2644101405466066	0.993350621797324	1.0485440760344151	70.05506535185825	124	1.0649040993887624
chr1-43000000	1.2417023138280856	1.1115936352785034	1.0441093947061333	50.06158559102042	206	1.0604002254611822
chr1-44000000	1.3508471622928013	1.0297985669254235	1.1109319211443824	62.14326942367279	186	1.1282653576592778
chr1-45000000	1.516992837247615	1.1011391701612947	1.2331165515080054	74.74891159104507	103	1.2523563870498744
chr1-46000000	1.2522602256237936	1.0263289433108524	1.03377967093908	47.72112664932239	191	1.0499093310519638
chr1-47000000	1.021090300735043	0.8910697209807682	0.8381979722364225	34.8667988691451	135	0.8512760475551222
chr1-48000000	0.7476606924429238	0.15944149137023628	0.6552527403410862	52.08138425217267	5	0.6654763927177445
chr1-50000000	1.3195425930768498	0.9959050739950905	1.0557675487936105	42.30483749068204	52	1.0722402771698458
chr1-51000000	1.2608559890661775	1.0848151905959442	0.9953623711415549	52.983008404949665	132	1.0108926211425857
chr1-52000000	1.2182090415402351	1.0910282181805668	0.9919798600664701	61.95049748596646	89	1.0074573340693818
chr1-53000000	1.2891116319640326	1.1452597379788385	1.0681942125978805	37.1851237598111	249	1.0848608293520114
chr1-54000000	1.3798581888748607	1.0546236899105241	1.1298223991071132	37.36846536319911	246	1.147450576365587
chr1-55000000	1.4251769421267217	1.0632296739927563	1.1129580375656674	44.19240973682571	126	1.130323086783098
chr1-56000000	1.5201375841384608	1.0884195539347754	1.1565600417773536	31.805784553559754	78	1.174605396022969
chr1-57000000	1.1421496757981262	1.1000288843416604	0.9376636996769809	35.54547531066218	31	0.9522936998609081
chr1-58000000	1.3277332850356767	1.107359382086785	1.0771621866360492	78.48537133404567	88	1.0939687271836183
chr1-59000000	1.3307301418833881	1.195435805777096	1.066483854060184	44.91031709569507	96	1.083123784758611
chr1-60000000	1.0841350373424357	0.8939097594255412	0.8471094683580859	54.60772722457688	20	0.8603265862673689
chr1-61000000	1.2933566577317963	1.1021920780703611	0.9858555962643798	46.41306444771146	66	1.0012375157730928
chr1-62000000	1.0811300693188484	0.9774353599313167	0.8336220538354173	37.485940739403496	83	0.8466287328879809
chr1-63000000	1.2356218094165086	1.0974050395291153	0.9823056372275287	45.37497332976685	98	0.9976321681130287
chr1-64000000	1.4668323763003726	1.0528203536833516	1.1512659821868039	48.88625599979078	113	1.169228735290016
chr1-65000000	1.3104591725135106	1.0398699143510983	0.9996719610166774	44.246412885983595	99	1.01526945186396
chr1-66000000	1.416815535039374	1.1190126522940613	1.0583288737058547	52.0772690035183	102	1.0748415654335028
chr1-67000000	1.3362923056513394	1.1315868508009252	1.0624387374748614	54.60715294576398	137	1.079015553800398
chr1-68000000	1.5787481076032144	1.199321689204515	1.2020685167134708	41.727143686114786	61	1.2208239219047663
chr1-69000000	0.9251407774818396	0.8176018967074442	0.7009911773522824	29.206066768613734	8	0.7119284686829889
chr1-70000000	1.1723959303103377	1.0048187947011264	0.8909725482052612	57.60241138086706	42	0.9048740446038179
chr1-71000000	1.6386033488722036	1.1023522516200117	1.181165763726413	29.31038559412923	36	1.199595031433501
chr1-72000000	1.4380668228133098	1.142827213228508	1.0368313653901038	40.36050459418181	32	1.053008639898634
chr1-74000000	0.805700316270903	0.8061577470940794	0.5942190135494262	92.78437184394153	12	0.6034903805443477
chr1-75000000	1.010281437142092	0.990447673911802	0.796232541141319	53.500836948649855	22	0.8086558462424541
chr1-76000000	0.8827104426726682	0.6893376718698372	0.667869455939193	35.769831566958004	24	0.6782899619975972
chr1-77000000	1.3545817120374433	1.1721413874497915	1.0636059601323715	56.072875588480706	85	1.0802009881767791
chr1-78000000	1.585069128998752	1.1904731047481267	1.2050052538409421	43.683122586527716	85	1.2238064797937003
chr1-79000000	1.726609615968863	1.118866165097361	1.2572643158473986	40.91814145400411	35	1.2768809195171673
chr1-80000000	1.2304902382442098	0.945652665742854	0.8430861869314414	20.244322823226895	21	0.8562405311532797
chr1-81000000	1.3778093922020258	1.0927429359657583	1.0693864712985988	52.64080199516921	37	1.0860716903991967
chr1-82000000	1.3546002075566634	0.936336008315582	0.95958188095271	29.48654819918282	11	0.9745538619515132
chr1-83000000	1.5308929416825867	0.9500695636973616	1.1071565479628254	30.66483172285717	22	1.1244310788057195
chr1-84000000	1.168583079933363	0.9941556783161994	0.9409204962017573	64.32301865483089	99	0.9556013109088156
chr1-85000000	1.3386336515956703	1.121551645631781	1.0477820948896306	80.68783574864437	104	1.0641302293500257
chr1-86000000	1.1998583855338776	1.1482404191391888	0.9195022933624883	44.58393441445203	61	0.9338489282227787
chr1-87000000	1.4167700813518684	1.097404107548041	1.0902722091077126	57.344768330860774	45	1.1072833002113476
chr1-88000000	1.0315574799443354	0.9163135656754684	0.7824727832827751	61.193468012623754	44	0.7946814002605771
chr1-89000000	1.3896613957619826	1.0949222761513548	1.0828702603220823	56.510986507456785	96	1.099765861712153
chr1-90000000	1.5060563723834242	1.2431546151708572	1.1319333699464278	20.14531090133921	37	1.1495944838577528
chr1-91000000	1.2985061353923362	1.0879352102644169	1.0241166199212177	51.76512714281222	76	1.040095511226247
chr1-92000000	1.3313066011079795	1.087173994213726	1.0228249733875792	55.59175361947202	85	1.0387837116366343
chr1-93000000	1.319829024144214	1.005606616384083	1.0643035576424842	65.7875131374462	136	1.0809094700281592
chr1-94000000	1.528732615574078	1.1439772155635402	1.2103495023421835	56.05175054969365	174	1.2292341125153003
chr1-95000000	1.4839036819054823	1.0812374860253298	1.1514608459328217	48.51068634405106	36	1.1694266394188928
chr1-96000000	1.196854367532838	1.1253686652049768	0.9073937950666667	46.58334460529361	49	0.9215515057611224
chr1-97000000	1.45495868265357	1.2359118834829599	1.0451878776085433	34.259294691303346	88	1.0614955355107518
chr1-98000000	1.3631639369079016	1.1230114685380426	0.9976237696586424	41.54547118818869	66	1.0131893033767803
chr1-99000000	1.5395594387483413	1.0666009961492853	1.176990903390652	35.55223174832773	54	1.1953550323838271
chr1-100000000	1.3298594662782885	1.0934251695888055	1.0126538654267163	62.71365836556131	69	1.0284539078540291
chr1-101000000	1.4253514813311972	1.1616470005477055	1.0850283014305693	36.46072449507301	41	1.1019575738925018
chr1-102000000	1.3542235951908828	1.1296833016113776	1.0439818677792108	47.09080155256156	11	1.0602707087814678
chr1-103000000	0.7689655774883372	0.8279697936651906	0.6555920477955132	61.968716803320724	7	0.6658209942537515
chr1-104000000	1.288412009026911	1.1579105461467634	0.9183305748541996	15.785657797595427	3	0.9326589278486166
chr1-105000000	1.0349151287973728	0.866725699059892	0.8387015221755804	43.39233413446302	7	0.8517874541871487
chr1-106000000	1.3325555557794395	0.8110369300412132	0.9855043152289279	32.79790879578211	13	1.0008807538369566
chr1-107000000	1.0080236403484006	0.9116037519314458	0.800877335046452	46.76668976520743	20	0.8133731110512915
chr1-108000000	1.2349559995380384	1.0120189163319482	0.9709391338169546	58.78282214896957	63	0.9860883175927769
chr1-109000000	1.292180918373614	1.1041599838742606	1.1051664821819398	67.61610025014573	189	1.122409962806349
chr1-110000000	1.4168321795878276	1.0727150462905592	1.1687729074587516	37.17472356382852	142	1.1870088142737227
chr1-111000000	1.2578883470950508	1.0126868617760463	1.0367881653065891	49.14050518818824	95	1.0529647657811028
chr1-112000000	1.372868972892941	1.1011676940754116	1.1076897328403823	64.93987358263834	115	1.124972582758505
chr1-113000000	1.2454199434286328	0.9929301012920745	0.9361561565311876	71.24293167733077	83	0.9507626351086924
chr1-114000000	1.4891092838424862	1.098100536928357	1.1819755954531548	38.54473618696327	68	1.2004174986481213
chr1-115000000	1.2947498654758578	0.9998831444717947	1.049647175966901	58.238618635979456	115	1.0660244105583057
chr1-116000000	1.115181878936716	0.8782749730719104	0.8923198058478196	48.48268515700531	96	0.9062423229807454
chr1-117000000	1.1805708484586963	0.9462992130561491	0.9251572715537316	52.310313838407794	97	0.939592138828273
chr1-118000000	1.7379266595413254	1.3085879001021075	1.4203476296477238	11.237888799662665	12	1.4425087585152965
chr1-119000000	1.3835261708028057	1.062406987361774	1.0816357821333762	39.01450245916456	90	1.098512122442812
chr1-120000000	0.5579811272215098	0.5218349184258233	0.4916603357998338	75.96281079429659	28	0.4993315198348553
chr1-121000000	0.7635220243280044	0.6568620723434329	0.5728854045524537	50.369809780074036	27	0.5818239115852618
chr1-125000000	2.83011860074275	2.83011860074275	2.1490268615153147	13.93662280974963	1	2.182557287605249
chr1-143000000	0.4183360515978224	0.3870229474741489	0.3492187655498839	42.172569917205784	10	0.35466748944309384
chr1-144000000	1.313622629279497	0.7339984932916825	1.1792219182638652	63.6786889207398	11	1.1976208569100284
chr1-145000000	1.069660741351869	0.9791334538118114	0.9400841527961633	109.36461048568242	59	0.9547519183639813
chr1-146000000	0.825899395971082	0.7375411819567717	0.7198726408099344	135.57034106928472	19	0.7311045322344201
chr1-147000000	1.3214258448738652	1.0553985343969505	1.0897184419592212	67.2694204574069	54	1.1067208928504995
chr1-148000000	0.7771602903398659	0.5427664841102363	0.6429293660410133	64.34611322790839	29	0.6529607416255352
chr1-149000000	0.8427775815347943	0.7621681929304535	0.7323225008026403	107.58773141313797	34	0.7437486425260827
chr1-150000000	1.168855637641242	0.9465399490754758	0.9857172298676427	109.12591825359918	130	1.0010969904995533
chr1-151000000	1.3123739047088772	1.0689025898282039	1.1058868670656667	76.48038605593216	181	1.1231415875738264
chr1-152000000	1.0647828052823558	1.0054985256273856	0.8718692482551044	46.95754822048883	46	0.8854726833318027
chr1-153000000	1.2531593965267027	1.0061938113710447	1.0486279040684026	78.88202193899355	129	1.0649892353587969
chr1-154000000	1.4020228734254168	1.0897269073471691	1.177370881770818	55.02544881059383	158	1.1957409394181293
chr1-155000000	1.0700938871571912	0.9836471843369058	0.9383843299905241	105.49446700716271	137	0.9530255738875472
chr1-156000000	1.2407037656258442	0.9812697535361753	1.0486125542532414	68.26039901986981	333	1.0649736460464698
chr1-157000000	1.2873927442839523	1.0840415081830501	1.0595720916099947	36.431993112086815	89	1.0761041807806413
chr1-158000000	1.2299460757650562	1.094729145148107	1.0258565206190575	42.10719282282417	46	1.0418625589145678
chr1-159000000	1.0828799655680699	0.8744714040740753	0.9030843549708032	66.90578478937233	84	0.9171748271559544
chr1-160000000	1.2915920145738844	1.113725722227072	1.0505971255215865	31.382517617470103	126	1.0669891818045683
chr1-161000000	1.2416782508141475	1.027934576379392	1.0252908034905177	80.54869670547133	123	1.041288015122804
chr1-162000000	1.414147524188661	1.0960796254895524	1.1427337682716565	56.07343133742317	135	1.1605633965762965
