WTA.plate,Cell_IDs,Family_IDs,Pairs,exclusion,exclusion.criteria,control_group,key_pairs,Type.Exp,Look.Exp,Cells.batch,Relationship,Sister1,Sister2,Cousin1,Cousin2,chr_of_interest,event2,MN_rupt_time_simple,MN.Daughter,MN.Info,MN.rupture.timing..frame...to.total...frames.,comments_by_stam,notes,notes1,notes2,Chromosomal.event..infered.by.analysis.,Notes.on.analysis,Seg.CN.Ratio,imaging.plate,method.notes,treatment,LCM.exp,LookRNAseq.Exp,SS2.Exp,experimental_label,protocol,protocol2,LCM_found_conf,LCM_found_conf2,cDNA.amp,cDNA.amp2,cDNA.QC,further.cDNA.amp,BioA..further.cDNA.amp.,BioA,capture.time,lysis,Lysis.timing..lysis.time.after.time.of.last.cell.division.,Cell.Cycle...h..at.lysis.,X,video,division.timing..division.frame.....total...frames..,Sequencing.A,Sequencing.B,SeqQC_total_reads,SeqQC_._exonic_reads,SeqQC_._genes,mainGroup,abbr_group,cellType1,cellType2,cell.type,cell.type.1,original.384wp,Orig.Imag.384wp,final.384wp,Seq.date,Seq.platform,Seq.kit,filePath,filePath_2nd,Fastq_files,Fastq_files2,Fastq_files3,N_unmapped,N_multimapping,N_noFeature,N_ambiguous,geneCounts,th1,th5,th10,totalReads,WTA.plate2,NTA.plate,Nextera_plate
161130_B6,F1.1,F1,161127_B6B7,exclude3,pre-submission excluded cause uninterpretable ,Reinc_in_use,Gen2,LookSeq1,161127_LookRNAsec,,A,1,0,NA,NA,,1xMN-->noMN,intact,A,,intact,"key2, chr11",,,direct SS2 after lysis,"shared chr18, 19, 20 events",chr11 in MN normal? Borderline 11q defect?,2:01,Sep-B13,SS2 directly after lysis,"p53si, noco 6h",,161127_LookRNAsec,161130,Reinc_in_use,clon v.4 - half vol,clon v.4 - half vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,161201-10,,half vol,~23 h post division?,11,NA,Position30,"80-87 , (161)",,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,O4,O4,Sep-B13,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_A4_L_155369_BCYates_A04.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161130_B6.R1.fastq.gz,170313_NTA_A4,,,11,7,2,10,70,10894,8483,7583,2229478,161130_B6,170311_NTA_A4,170313_Nextera
161130_B7,F1.2,F1,161127_B6B7,exclude3,pre-submission excluded cause uninterpretable ,Reinc_in_use,Gen2,LookSeq1,161127_LookRNAsec,,B,0,1,NA,NA,,1xMN-->noMN,intact,A,,intact,"key2, chr11",,,direct SS2 after lysis,"chr11 monosomy, shared chr18, 19, 20 events",,2:01,Sep-B15,SS2 directly after lysis,"p53si, noco 6h",,161127_LookRNAsec,161130,Reinc_in_use,clon v.4 - half vol,clon v.4 - half vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,161201-11 k 170125C-11,,half vol,~23 h post division?,11,NA,Position30,"80-87 , (161)",,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,O4,O4,Sep-B15,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_A5_L_155370_BCYates_A05.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161130_B7.R1.fastq.gz,170313_NTA_A5,,,13,8,2,10,68,10021,7887,7110,2927184,161130_B7,170311_NTA_A5,170313_Nextera
161228_A1,F2.1,F2,161216_A1A2,exclude3,protocol,control_gen2_notreatment,,control_LookSeq1,161216_LookRNAsec,,,NA,NA,NA,NA,,control,,,,,,,,Frozen lysate,,,,Imag-E11,Frozen lysate,no,,161216_LookRNAsec,161228,control_gen2_notreatment,clon v.4 - half-full vol,clon v.4 - half-full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,161229-1,,half vol-->FULL vol,,,NA,Position30,,,,,NA,NA,A_level_control,,,NA,RPE1,RPE1,E11,E11,Imag-E11,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_A8_L_155372_BCYates_A08.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161228_A1.R1.fastq.gz,170313_NTA_A8,,,13,8,1,9,69,9121,7062,6320,3525369,161228_A1,170311_NTA_A8,170313_Nextera
161228_A2,F2.2,F2,161216_A1A2,exclude3,protocol,control_gen2_notreatment,,control_LookSeq1,161216_LookRNAsec,,,NA,NA,NA,NA,,control,,,,,,divided??,divided??,Frozen lysate,,,,Sep2-G1,Frozen lysate,no,,161216_LookRNAsec,161228,control_gen2_notreatment,clon v.4 - half-full vol,clon v.4 - half-full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,161229-2,,half vol-->FULL vol,,,NA,Position30,,,,,NA,NA,A_level_control,,,NA,RPE1,RPE1,E11,E11,Sep2-G1,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_A9_L_155373_BCYates_A09.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161228_A2.R1.fastq.gz,170313_NTA_A9,,,10,6,6,9,69,11027,8640,7765,2700890,161228_A2,170311_NTA_A9,170313_Nextera
161229_A1,F3.1,F3,161226B_A1A2,exclude3,,Reinc_not_in_use,Gen2,LookSeq1,161226_Look_Btirf,,A,1,0,NA,NA,,1xMN-->noMN,NA,NA,,,,,invert RED/GR,direct SS2 after lysis,"chr2 monosomy?, many chr imbalance",,3:2?,Sep-F1,SS2 directly after lysis,"p53si, noco 6h",,161226_LookRNAseq_Btirf,161229,Reinc_not_in_use,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,170104- 9,,full vol,,,NA,Position9,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,,,Sep-F1,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B2_L_155378_BCYates_B02.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161229_A1.R1.fastq.gz,170313_NTA_B2,,,9,6,2,9,75,9921,7597,6806,2446153,161229_A1,170311_NTA_B2,170313_Nextera
161229_A2,F3.2,F3,161226B_A1A2,exclude3,,Reinc_not_in_use,Gen2,LookSeq1,161226_Look_Btirf,,B,0,1,NA,NA,,1xMN-->noMN,NA,NA,,,,,invert RED/GR,direct SS2 after lysis,"chr2 monosomy?, many chr imbalance",,3:2?,Sep-F6,SS2 directly after lysis,"p53si, noco 6h",,161226_LookRNAseq_Btirf,161229,Reinc_not_in_use,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,170104- 10,,full vol,,,NA,Position9,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,,,Sep-F6,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B3_L_155379_BCYates_B03.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161229_A2.R1.fastq.gz,170313_NTA_B3,,,10,6,7,8,68,11296,8733,7787,2662061,161229_A2,170311_NTA_B3,170313_Nextera
161229_A5,S1.1,S1,,exclude3,no pairing,Reinc_not_in_use,,LookSeq1,161226_Look_AoldMic,,,NA,NA,NA,NA,,1xMN-->noMN,,,,,,,,direct SS2 after lysis,,,,Sep-I4,SS2 directly after lysis,"p53si, noco 6h",,161226_LookRNAseq_AoldMic,161229,Reinc_not_in_use,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,170125B-2 k 170126-2,,full vol,,,NA,Position5,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,,,Sep-I4,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B4_L_155380_BCYates_B04.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//161229_A5.R1.fastq.gz,170313_NTA_B4,,,10,6,12,8,64,10808,8301,7503,3198951,161229_A5,170311_NTA_B4,170313_Nextera
170112_A1,S2.1,S2,mother,exclude3,no pairing_mother,1MN_gen1,,LookSeq1,170109_Look,,,NA,NA,NA,NA,,"mother, 1xMN",,,,,,,intact MN,direct SS2 after lysis,,,,Imag-C7,SS2 directly after lysis,"p53si, noco 6h",,170109_LookRNAseq,170112,1MN_gen1,clon v.4 - half vol,clon v.4 - half vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,170125B-4 k 170126-4,,half vol,,,NA,Position3,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,C7,C7,Imag-C7,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B5_L_155381_BCYates_B05.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170112_A1.R1.fastq.gz,170313_NTA_B5,,,10,6,1,10,73,11317,8988,8203,3612453,170112_A1,170311_NTA_B5,170313_Nextera
170112_A2,S3.1,S3,mother,exclude3,no pairing_mother,1MN_gen1,,LookSeq1,170109_Look,,,NA,NA,NA,NA,,"mother, 1xMN",,,,,,,"ruptured MN, binucleated?",direct SS2 after lysis,,,,Imag-D9,SS2 directly after lysis,"p53si, noco 6h",,170109_LookRNAseq,170112,1MN_gen1,clon v.4 - half vol,clon v.4 - half vol,NA,NA,18 cycles,18 cycles,NA,NA,NA,170125B-5 k 170126-5,,half vol,,,NA,Position4,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,D9,D9,Imag-D9,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B6_L_155382_BCYates_B06.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170112_A2.R1.fastq.gz,170313_NTA_B6,,,15,8,15,6,56,6189,4260,3809,1498267,170112_A2,170311_NTA_B6,170313_Nextera
170119_A3,F6.1,F6,170116_A3A4,exclude3,ambiguous_event,Maybe_MN,,LookSeq1,170116_LookRNAsec,,,NA,NA,NA,NA,,(noMN)-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-C2,SS2 directly after lysis,"p53si, noco 6h",,170116_LookRNAsec,170119,Maybe_MN,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,170125A-7,,full vol,,,NA,Position4,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,B20,B20,Sep-C2,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B10_L_155386_BCYates_B10.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170119_A3.R1.fastq.gz,170313_NTA_B10,,,10,6,7,8,70,11705,9213,8284,2945932,170119_A3,170311_NTA_B10,170313_Nextera
170119_A4,F6.2,F6,170116_A3A4,exclude3,ambiguous_event,Maybe_MN,,LookSeq1,170116_LookRNAsec,,,NA,NA,NA,NA,,(noMN)-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-C6,SS2 directly after lysis,"p53si, noco 6h",,170116_LookRNAsec,170119,Maybe_MN,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,170125A-8,,full vol,,,NA,Position4,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,B20,B20,Sep-C6,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B11_L_155387_BCYates_B11.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170119_A4.R1.fastq.gz,170313_NTA_B11,,,11,7,3,8,71,10123,7896,7137,3009177,170119_A4,170311_NTA_B11,170313_Nextera
170119_A5,F7.1,F7,170116_A5A6,exclude3,pre-submission excluded cause uninterpretable ,Reinc_in_use,Gen2,LookSeq1,170116_LookRNAsec,,A,1,0,NA,NA,,1xMN-->noMN,intact,A,,intact,"key2, chr3",,binucleated mother?,SS2 directly after lysis,chr6 k chr7 monosomies,chr3 in MN normal?,2:01,Sep-D4,SS2 directly after lysis,"p53si, noco 6h",,170116_LookRNAsec,170119,Reinc_in_use,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,170125A-9,,full vol,,3,NA,Position11,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,H20,H20,Sep-D4,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B12_L_155388_BCYates_B12.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170119_A5.R1.fastq.gz,170313_NTA_B12,,,11,6,8,8,68,11636,9182,8315,4185853,170119_A5,170311_NTA_B12,170313_Nextera
170119_A6,F7.2,F7,170116_A5A6,exclude3,pre-submission excluded cause uninterpretable ,Reinc_in_use,Gen2,LookSeq1,170116_LookRNAsec,,B,0,1,NA,NA,,1xMN-->noMN,intact,A,,intact,"key2, chr3",,binucleated mother?,SS2 directly after lysis,"chr3 monosomy, chr6 k chr7 monosomies",,2:01,Sep-D6,SS2 directly after lysis,"p53si, noco 6h",,170116_LookRNAsec,170119,Reinc_in_use,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,170125A-10,,full vol,,3,NA,Position11,,,,,NA,NA,observed_MN_event,,,NA,RPE1,RPE1,H20,H20,Sep-D6,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_C1_L_155389_BCYates_C01.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170119_A6.R1.fastq.gz,170313_NTA_C1,,,12,7,1,8,72,9567,7343,6579,3210864,170119_A6,170311_NTA_C1,170313_Nextera
170120_A1,F8.1,F8,170115Targ_A1A2,targ_5q,,targ_gen2_noMN,targ_5q,control_noMN_LookSeq1,170115_TargMNLookRNAsec,,,NA,NA,NA,NA,,noMN-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-D1,SS2 directly after lysis,targMN,,170115_TargMNLookRNAsec,170120,targ_gen2_noMN,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,170125A-1,,full vol,,,NA,Position10,,,,,NA,NA,targMN5q,,,NA,RPE1,RPE1,G2,G2,Sep-D1,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B7_L_155383_BCYates_B07.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170120_A1.R1.fastq.gz,170313_NTA_B7,,,13,7,15,7,57,9789,7352,6559,2692763,170120_A1,170311_NTA_B7,170313_Nextera
170120_A2,F8.2,F8,170115Targ_A1A2,targ_5q,,targ_gen2_noMN,targ_5q,control_noMN_LookSeq1,170115_TargMNLookRNAsec,,,NA,NA,NA,NA,,noMN-->noMN,,,,,,,,SS2 directly after lysis,,,,Sep-D3,SS2 directly after lysis,targMN,,170115_TargMNLookRNAsec,170120,targ_gen2_noMN,Clon v.4 - full vol,Clon_v.4 - full vol,NA,NA,21 cycles,21 cycles,NA,NA,NA,170125A-2,,full vol,,,NA,Position10,,,,,NA,NA,targMN5q,,,NA,RPE1,RPE1,G2,G2,Sep-D3,170331_HiSeq,HiSeq Rapid v.2,2x100 bp,/czlab/etai/ExperimentsData/Stamatis//SIS1025a/SN218_Run0867_Lane1_170313_NTA_B8_L_155384_BCYates_B08.demult.bam.qsort.bam.R1.fastq.gz,/czlab/etai/ExperimentsData/Stamatis/run.v2/fastq//170120_A2.R1.fastq.gz,170313_NTA_B8,,,10,6,9,9,66,10695,8271,7307,1993349,170120_A2,170311_NTA_B8,170313_Nextera
